Facility Address,CITY,ZIP,County,License Category,Status,Status Date,Facility,Report
255 EAST BONITA AVENUE,POMONA,91767,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,28-Feb-61,CASA COLINA HOSPITAL #190137,Ambulatory Surgery
4650 LINCOLN BOULEVARD,MARINA DEL REY,90292,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,17-Apr-70,CEDARS-SINAI MARINA HOSPITAL #190500,Ambulatory Surgery
8700 BEVERLY BOULEVARD,LOS ANGELES,90048,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,15-Aug-55,CEDARS-SINAI MEDICAL CENTER #190555,Ambulatory Surgery
555 EAST HARDY STREET,INGLEWOOD,90301,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,CENTINELA HOSPITAL MEDICAL CENTER #190148,Ambulatory Surgery
3605 HOSPITAL RD,ATWATER,95301,MERCED,SURGICAL CLINIC,OPEN,11-Feb-99,CENTRAL CALIFORNIA DENTAL SURGERY CENTER #244030,Ambulatory Surgery
2601 EAST CHAPMAN AVENUE,ORANGE,92869,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,3-Dec-68,CHAPMAN GLOBAL MEDICAL CENTER #301140,Ambulatory Surgery
"27700 MEDICAL CTR. RD., 5TH FL",MISSION VIEJO,92691,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-93,CHILDREN'S HOSPITAL AT MISSION #304113,Ambulatory Surgery
4650 W. SUNSET BOULEVARD,LOS ANGELES,90027,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Ambulatory Surgery
1201 WEST LA VETA AVENUE,ORANGE,92868,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,30-Jun-78,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Ambulatory Surgery
845 JACKSON STREET,SAN FRANCISCO,94133,SAN FRANCISCO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,CHINESE HOSPITAL #382715,Ambulatory Surgery
5451 WALNUT AVENUE,CHINO,91710,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Oct-72,CHINO VALLEY MEDICAL CENTER #361144,Ambulatory Surgery
1500 DUARTE ROAD,DUARTE,91010,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,8-Mar-46,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL #190176,Ambulatory Surgery
13100 STUDEBAKER ROAD,NORWALK,90650,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Apr-58,COAST PLAZA HOSPITAL #190766,Ambulatory Surgery
301 VICTORIA STREET,COSTA MESA,92627,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,5-Sep-68,COLLEGE HOSPITAL COSTA MESA #301155,Ambulatory Surgery
2776 PACIFIC AVENUE,LONG BEACH,90806,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,13-Jun-56,COLLEGE MEDICAL CENTER #190587,Ambulatory Surgery
1401 BAILEY AVENUE,NEEDLES,92363,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,11-Aug-52,COLORADO RIVER MEDICAL CENTER #361458,Ambulatory Surgery
199 E WEBSTER STREET,COLUSA,95932,COLUSA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-53,COLUSA MEDICAL CENTER #060870,Ambulatory Surgery
2623 EAST SLAUSON AVENUE,HUNTINGTON PARK,90255,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,31-Dec-57,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Ambulatory Surgery
1805 MEDICAL CENTER DRIVE,SAN BERNARDINO,92411,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,21-Apr-58,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Ambulatory Surgery
23625 W. R. HOLMAN HIGHWAY,MONTEREY,93940,MONTEREY,GENERAL ACUTE CARE HOSPITAL,OPEN,19-Jun-62,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
2823 FRESNO STREET,FRESNO,93721,FRESNO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
2500 ALHAMBRA AVENUE,MARTINEZ,94553,CONTRA COSTA,GENERAL ACUTE CARE HOSPITAL,OPEN,2-Jul-53,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
800 SOUTH MAIN STREET,CORONA,92882,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,31-Mar-65,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
525 WEST ACACIA ST,STOCKTON,95203,SAN JOAQUIN,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,DAMERON HOSPITAL #390846,Ambulatory Surgery
1523 E MARCH LN,STOCKTON,95210,SAN JOAQUIN,SURGICAL CLINIC,OPEN,20-Nov-08,DELTA SURGICAL #394088,Ambulatory Surgery
1150 NORTH INDIAN CANYON DRIVE,PALM SPRINGS,92262,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,20-Sep-51,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
16850 BEAR VALLEY ROAD,VICTORVILLE,92395,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,31-Aug-94,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
6000 SAN VICENTE BOULEVARD,LOS ANGELES,90036,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,8-Jul-54,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
1205 EAST NORTH STREET,MANTECA,95336,SAN JOAQUIN,GENERAL ACUTE CARE HOSPITAL,OPEN,26-Feb-62,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
3865 JACKSON STREET,RIVERSIDE,92503,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,24-Oct-58,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
1441 FLORIDA AVENUE,MODESTO,95350,STANISLAUS,GENERAL ACUTE CARE HOSPITAL,OPEN,11-Jul-62,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
1555 SOQUEL DRIVE,SANTA CRUZ,95065,SANTA CRUZ,GENERAL ACUTE CARE HOSPITAL,OPEN,26-Dec-67,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
4060 WHITTIER BOULEVARD,LOS ANGELES,90023,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,15-Aug-49,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
500 1ST AVE,PORTOLA,96122,PLUMAS,GENERAL ACUTE CARE HOSPITAL,OPEN,16-Aug-71,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
20103 LAKE CHABOT RD,CASTRO VALLEY,94546,ALAMEDA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Nov-12,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
39000 BOB HOPE DRIVE,RANCHO MIRAGE,92270,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,27-Dec-71,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
2500 GRANT ROAD,MOUNTAIN VIEW,94040,SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,OPEN,18-Aug-61,EL CAMINO HEALTH #430763,Ambulatory Surgery
1415 ROSS AVENUE,EL CENTRO,92243,IMPERIAL,GENERAL ACUTE CARE HOSPITAL,OPEN,21-Jan-67,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
250 SOUTH GRAND AVENUE,GLENDORA,91741,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,26-Mar-73,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
210 W. SAN BERNARDINO ROAD,COVINA,91723,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,28-Mar-46,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
1115 SOUTH SUNSET AVENUE,WEST COVINA,91790,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,16-Dec-62,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
825 DELBON AVENUE,TURLOCK,95382,STANISLAUS,GENERAL ACUTE CARE HOSPITAL,OPEN,5-Nov-66,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
16237 VENTURA BOULEVARD,ENCINO,91436,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,8-Nov-54,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
1531 ESPLANADE,CHICO,95926,BUTTE,GENERAL ACUTE CARE HOSPITAL,OPEN,29-Mar-46,ENLOE HEALTH #040962,Ambulatory Surgery
444 BRUCE STREET,YREKA,96097,SISKIYOU,GENERAL ACUTE CARE HOSPITAL,OPEN,11-Jul-97,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
14662 NEWPORT AVENUE,TUSTIN,92780,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,23-Feb-98,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
1911 JOHNSON AVENUE,SAN LUIS OBISPO,93401,SAN LUIS OBISPO,GENERAL ACUTE CARE HOSPITAL,OPEN,26-Sep-72,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
2828 FRESNO ST,FRESNO,93721,FRESNO,SURGICAL CLINIC,OPEN,1-Aug-10,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
6125 NORTH FRESNO STREET,FRESNO,93710,FRESNO,GENERAL ACUTE CARE HOSPITAL,OPEN,23-Feb-93,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
12601 GARDEN GROVE BLVD.,GARDEN GROVE,92843,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,7-Jan-58,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
525 NORTH GARFIELD AVENUE,MONTEREY PARK,91754,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
300 CANAL STREET,KING CITY,93930,MONTEREY,GENERAL ACUTE CARE HOSPITAL,OPEN,12-Sep-62,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
1420 SOUTH CENTRAL AVENUE,GLENDALE,91204,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
351 SOUTH PATTERSON AVENUE,SANTA BARBARA,93111,SANTA BARBARA,GENERAL ACUTE CARE HOSPITAL,OPEN,13-Jul-64,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
901 OLIVE DRIVE,BAKERSFIELD,93308,KERN,GENERAL ACUTE CARE HOSPITAL,OPEN,10-May-60,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
2425 SAMARITAN DRIVE,SAN JOSE,95124,SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,OPEN,21-Sep-65,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
1418 E MAIN ST,SANTA MARIA,93454,SANTA BARBARA,SURGICAL CLINIC,OPEN,5-Sep-12,GRACE SURGERY CENTER #424085,Ambulatory Surgery
1701 SANTA ANITA AVENUE,SOUTH EL MONTE,91733,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-74,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
5555 GROSSMONT CENTER DRIVE,LA MESA,91942,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Aug-55,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
1979 HILLMAN ST,TULARE,93274,TULARE,SURGICAL CLINIC,OPEN,15-Aug-11,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
911 SUNSET DRIVE,HOLLISTER,95023,SAN BENITO,GENERAL ACUTE CARE HOSPITAL,OPEN,29-Jun-62,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
1375 UNIVERSITY STREET,HEALDSBURG,95448,SONOMA,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Jan-72,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
1117 EAST DEVONSHIRE,HEMET,92543,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
23845 MCBEAN PARKWAY,VALENCIA,91355,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,30-Jul-75,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
6601 WHITE FEATHER ROAD,JOSHUA TREE,92252,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,11-Jun-71,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
335 EAST AVENUE I,LANCASTER,93535,LOS ANGELES,SURGICAL CLINIC,OPEN,23-Jul-14,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
1411 EAST 31ST STREET,OAKLAND,94602,ALAMEDA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-53,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
1 HOAG DRIVE,NEWPORT BEACH,92663,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,15-Sep-52,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
16250 SAND CANYON AVENUE,IRVINE,92618,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Nov-10,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
1300 NORTH VERMONT AVENUE,LOS ANGELES,90027,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
17772 BEACH BOULEVARD,HUNTINGTON BEACH,92647,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,3-Apr-67,HUNTINGTON BEACH HOSPITAL #301209,Ambulatory Surgery
100 W. CALIFORNIA BOULEVARD,PASADENA,91105,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
46900 MONROE ST,INDIO,92201,RIVERSIDE,SURGICAL CLINIC,OPEN,28-Aug-06,INDIO SURGERY CENTER INC. #334578,Ambulatory Surgery
5189 HOSPITAL RD.,MARIPOSA,95338,MARIPOSA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Oct-51,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Ambulatory Surgery
47111 MONROE STREET,INDIO,92201,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,18-Feb-66,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
2540 EAST STREET,CONCORD,94520,CONTRA COSTA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,CONTRA COSTA,GENERAL ACUTE CARE HOSPITAL,OPEN,15-Jun-65,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
975 SERENO DRIVE,VALLEJO,94589,SOLANO,GENERAL ACUTE CARE HOSPITAL,OPEN,21-Mar-73,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
4501 SAND CREEK ROAD,ANTIOCH,94531,CONTRA COSTA,GENERAL ACUTE CARE HOSPITAL,OPEN,7-Nov-07,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
1011 BALDWIN PARK BLVD.,BALDWIN PARK,91706,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,7-Oct-98,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
9333 IMPERIAL HIGHWAY,DOWNEY,90242,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,31-Aug-09,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
9961 SIERRA AVENUE,FONTANA,92335,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Sep-54,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
7300 NORTH FRESNO STREET,FRESNO,93720,FRESNO,GENERAL ACUTE CARE HOSPITAL,OPEN,23-Feb-95,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
4867 SUNSET BOULEVARD,LOS ANGELES,90027,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-May-53,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
1777 WEST YOSEMITE AVENUE,MANTECA,95337,SAN JOAQUIN,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Sep-90,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Ambulatory Surgery
27300 IRIS AVENUE,MORENO VALLEY,92555,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,3-Oct-90,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Ambulatory Surgery
275 W. MACARTHUR BLVD.,OAKLAND,94611,ALAMEDA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-14,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Ambulatory Surgery
3440 E LA PALMA AVE,ANAHEIM,92806,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,12-Jul-12,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Ambulatory Surgery
13652 CANTARA STREET,PANORAMA CITY,91402,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,21-Jun-63,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Ambulatory Surgery
39400 PASEO PADRE PARKWAY,FREMONT,94538,ALAMEDA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Dec-96,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Ambulatory Surgery
1100 VETERANS BLVD.,REDWOOD CITY,94063,SAN MATEO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Dec-14,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Ambulatory Surgery
10800 MAGNOLIA AVENUE,RIVERSIDE,92505,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,11-Sep-89,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Ambulatory Surgery
1600 EUREKA ROAD,ROSEVILLE,95661,PLACER,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Sep-11,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Ambulatory Surgery
