DISPOSITION,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,1,1,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged/Transferred to Court/Law Enforcement,221,227,188,209,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,79,84,69,64,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,101,82,88,85,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Error/Unknown,47,45,46,64,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Expired,25,23,25,33,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Left against medical advice or discontinued care,610,747,677,600,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Other,20,12,6,14,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Discharged home with hospice care,0,0,1,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Discharged to home or self care (routine discharge),3396,3538,3518,3351,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,5,4,1,3,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Discharged/Transferred to a hospital-based Medicare approved swing bed,0,0,1,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,20,14,25,33,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,126,142,122,133,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,1,1,4,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Discharged/Transferred to Court/Law Enforcement,24,8,9,14,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,7,4,7,4,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,6,9,1,1,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Expired,6,1,1,4,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Left against medical advice or discontinued care,17,23,31,36,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Other,0,0,0,1,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Discharged home with hospice care,2,4,2,9,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged to home or self care (routine discharge),12911,13213,12508,12577,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,1,5,3,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),12,14,2,3,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,1,0,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,0,1,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,27,46,39,40,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,215,228,209,206,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,4,2,7,8,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,87,69,78,95,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged/Transferred to Court/Law Enforcement,42,29,31,38,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,52,51,54,67,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,192,190,185,161,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Error/Unknown,11,11,15,8,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Expired,8,11,9,10,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Left against medical advice or discontinued care,190,219,212,223,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Other,18,7,8,13,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Discharged to home or self care (routine discharge),2392,2490,2742,2344,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),1,1,2,1,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,3,2,1,1,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to a federal health care facility,1,0,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to a hospital-based Medicare approved swing bed,2,1,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,26,20,23,21,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,85,107,110,110,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,0,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,5,17,12,7,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to Court/Law Enforcement,11,8,10,8,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,10,8,7,6,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,5,2,6,6,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Expired,6,0,2,2,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Left against medical advice or discontinued care,9,11,19,10,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Other,0,1,2,11,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Discharged home with hospice care,1,0,1,1,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Discharged to home or self care (routine discharge),8447,9192,9135,8793,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,13,8,2,10,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Discharged/Transferred to a hospital-based Medicare approved swing bed,0,0,0,2,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,8,13,18,9,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,210,204,212,198,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,1,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,2,0,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Discharged/Transferred to Court/Law Enforcement,20,18,23,23,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,6,5,4,9,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,22,13,12,10,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Error/Unknown,17,27,21,32,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Expired,9,5,9,8,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Left against medical advice or discontinued care,197,253,195,196,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Other,4,1,4,2,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Discharged home with hospice care,0,0,0,1,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Discharged to a medical facility with hospice care,0,0,1,1,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Discharged to home or self care (routine discharge),4876,4784,4682,4769,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,1,0,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,39,39,33,52,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,65,77,88,65,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,0,0,1,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,48,40,46,52,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Discharged/Transferred to home under care of organized home health service organization with a Planned Acute Care Hospital Inpatient Readmission,0,1,0,2,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,16,17,24,18,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Error/Unknown,4,0,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Expired,6,6,8,5,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Left against medical advice or discontinued care,114,29,103,54,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Discharged home with hospice care,3,2,1,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged to home or self care (routine discharge),9040,9197,9029,9600,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,2,1,1,9,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),2,0,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,2,1,2,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,57,69,81,77,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,347,317,298,310,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,7,3,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,5,1,4,0,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged/Transferred to Court/Law Enforcement,89,113,103,95,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,71,55,71,84,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,23,14,8,18,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Error/Unknown,32,38,42,61,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Expired,9,6,5,7,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Left against medical advice or discontinued care,145,143,153,184,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Other,1,2,2,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Discharged home with hospice care,5,3,4,2,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged to home or self care (routine discharge),7283,7893,7943,7423,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,16,13,15,5,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,0,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,4,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,39,45,52,66,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,244,232,213,194,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,1,2,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,12,20,15,16,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,16,16,15,11,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to Court/Law Enforcement,81,82,105,101,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,22,17,20,19,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,38,48,36,35,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,0,1,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Error/Unknown,18,32,29,6,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Expired,7,9,13,5,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Left against medical advice or discontinued care,47,40,40,66,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Other,5,5,4,6,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Discharged home with hospice care,0,0,1,0,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Discharged to home or self care (routine discharge),1439,1645,1574,1516,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,0,1,0,1,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,8,6,5,8,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,23,38,36,35,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
