SEX,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Male,5681,5940,5801,6079,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
Female,10505,10528,9656,9580,DOCTORS MEDICAL CENTER #500852,Emergency Department
Male,8406,8589,7756,7747,DOCTORS MEDICAL CENTER #500852,Emergency Department
Not Provided/Blank,0,0,1,0,DOCTORS MEDICAL CENTER #500852,Emergency Department
Unknown,3,2,0,0,DOCTORS MEDICAL CENTER #500852,Emergency Department
Female,5419,5807,5757,5714,DOMINICAN HOSPITAL #440755,Emergency Department
Male,4918,5389,5308,5061,DOMINICAN HOSPITAL #440755,Emergency Department
Unknown,2,0,0,0,DOMINICAN HOSPITAL #440755,Emergency Department
Female,1129,1148,1290,1299,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Male,1271,1257,1358,1455,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Female,466,521,574,470,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Male,405,463,554,435,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Female,9750,9428,8919,9824,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Male,8144,7652,7335,7916,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Unknown,0,1,1,2,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Female,9282,9421,8900,9059,EL CAMINO HEALTH #430763,Emergency Department
Male,7366,7553,7085,7125,EL CAMINO HEALTH #430763,Emergency Department
Unknown,5,7,1,3,EL CAMINO HEALTH #430763,Emergency Department
Female,3965,4148,4036,4225,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Male,3652,3746,3801,3836,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Female,4712,4952,5068,5198,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Male,3896,3895,3978,4105,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Unknown,0,1,0,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Female,4473,4551,4717,5133,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Male,3571,3804,3714,3974,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Unknown,1,0,1,0,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Female,7728,7912,7841,8136,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Male,6423,6505,6510,6882,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Female,8051,8290,8103,7977,EMANUEL MEDICAL CENTER #500867,Emergency Department
Male,6125,6219,6158,5996,EMANUEL MEDICAL CENTER #500867,Emergency Department
Unknown,1,4,2,3,EMANUEL MEDICAL CENTER #500867,Emergency Department
Female,793,838,841,959,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Male,757,774,755,812,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Unknown,1,1,0,0,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Female,8859,9144,8778,9033,ENLOE HEALTH #040962,Emergency Department
Male,7179,7569,7429,7427,ENLOE HEALTH #040962,Emergency Department
Unknown,4,1,1,0,ENLOE HEALTH #040962,Emergency Department
Female,1584,1621,1495,1510,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Male,1326,1505,1491,1245,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Female,595,557,566,545,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Male,621,526,558,580,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Unknown,0,0,1,1,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Female,3221,3386,3579,3220,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Male,2499,3083,3040,2961,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Unknown,1,0,0,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Female,2423,2407,2542,2406,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Male,2434,2402,2427,2404,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Unknown,1,0,1,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Female,2715,2840,2931,3205,GARFIELD MEDICAL CENTER #190315,Emergency Department
Male,2236,2384,2508,2792,GARFIELD MEDICAL CENTER #190315,Emergency Department
Unknown,0,1,0,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
Female,2155,2521,2189,2089,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Male,1831,2157,1845,1793,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Unknown,0,1,1,0,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Female,3834,3838,4090,3972,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Male,3345,3372,3197,3455,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Unknown,4,1,1,0,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Female,843,834,758,785,GLENN MEDICAL CENTER #110889,Emergency Department
Male,642,744,723,648,GLENN MEDICAL CENTER #110889,Emergency Department
Error/Unknown,1,1,2,0,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Female,3326,3377,3294,3448,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Male,2789,3083,2935,3138,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Unknown,2,2,0,0,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Female,7821,8353,8135,8248,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Male,5966,6249,5956,6167,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Female,3015,3091,3068,3195,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Male,2864,2941,2889,3160,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Unknown,1,0,0,0,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Female,13478,15607,16044,16079,GROSSMONT HOSPITAL #370714,Emergency Department
Male,10962,13076,13413,13313,GROSSMONT HOSPITAL #370714,Emergency Department
Unknown,4,8,9,14,GROSSMONT HOSPITAL #370714,Emergency Department
Female,3244,3538,3237,3525,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
Male,2644,2991,2655,2858,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
Female,1293,1403,1348,1240,HEALDSBURG HOSPITAL #490964,Emergency Department
Male,1090,1284,1188,1054,HEALDSBURG HOSPITAL #490964,Emergency Department
Error/Unknown,1,0,0,0,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Female,5389,5714,5656,5590,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Male,4795,5067,5055,4813,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Unknown,1,1,1,2,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Female,7402,7780,7816,8384,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
Male,6219,6569,6656,6903,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
Unknown,1,0,1,2,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
Female,3387,3376,3225,3460,HI-DESERT MEDICAL CENTER #362041,Emergency Department
Male,2790,2874,2910,2970,HI-DESERT MEDICAL CENTER #362041,Emergency Department
Unknown,1,2,1,3,HI-DESERT MEDICAL CENTER #362041,Emergency Department
Error/Unknown,5,7,9,0,HIGHLAND HOSPITAL #010846,Emergency Department
Female,9117,9543,9337,9407,HIGHLAND HOSPITAL #010846,Emergency Department
Male,9494,9992,9775,9582,HIGHLAND HOSPITAL #010846,Emergency Department
Unknown,14,1,1,2,HIGHLAND HOSPITAL #010846,Emergency Department
Error/Unknown,2,0,0,0,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Female,15082,15954,16427,16709,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Male,11893,12388,12643,12880,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Unknown,4,8,6,6,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Female,3545,3787,3930,3773,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Male,3520,3630,3722,3547,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Not Provided/Blank,9,4,4,10,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Unknown,0,2,1,2,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Female,1301,1495,1495,1437,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
Male,1420,1621,1788,1716,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
Unknown,0,0,3,0,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
Female,7462,7605,7954,8150,HUNTINGTON HOSPITAL #190400,Emergency Department
Male,6043,6139,6238,6660,HUNTINGTON HOSPITAL #190400,Emergency Department
Female,826,936,978,908,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
Male,778,867,870,760,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
Female,6583,6600,6221,6627,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
Male,5763,5714,5378,5644,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
Unknown,0,0,0,2,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
Female,7797,8260,7903,7771,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
