ZIP CODE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
California Resident,1176,1112,930,923,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Out of State,6,5,3,1,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
California Resident,709,747,692,710,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Out of State,4,3,1,2,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Unknown,6,12,12,5,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
California Resident,1735,1717,1684,1552,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Out of State,2,2,2,4,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Unknown,31,31,13,30,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Blank/Invalid,0,1,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
California Resident,1306,1461,1453,1278,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Out of State,5,5,5,9,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Unknown,0,4,0,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
California Resident,134,131,149,161,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Unknown,1,1,1,0,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
California Resident,1431,1514,1419,1408,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Out of State,0,1,1,1,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Unknown,1,3,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
California Resident,2613,2688,2701,2516,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Out of State,4,2,2,2,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Unknown,3,5,6,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Blank/Invalid,0,0,0,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
California Resident,450,199,649,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Out of State,1,0,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Does Not Reside in US,3,0,3,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Unknown,0,1,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Blank/Invalid,2,0,2,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
California Resident,18,29,21,24,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
Out of State,1,1,0,1,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
California Resident,917,1010,903,875,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Out of State,0,1,0,1,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Unknown,0,1,0,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
California Resident,580,670,636,643,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Out of State,13,9,9,9,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Does Not Reside in US,1,0,1,0,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Unknown,1,0,0,0,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
California Resident,416,406,194,184,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
Unknown,4,0,0,0,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
Blank/Invalid,0,0,1,0,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
California Resident,357,318,398,307,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Out of State,1,0,0,0,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
California Resident,533,498,497,319,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
Out of State,0,0,2,0,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
California Resident,1316,1440,1458,1494,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Out of State,4,6,6,4,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Does Not Reside in US,0,0,1,0,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Unknown,1,1,0,0,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Blank/Invalid,2,0,0,0,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
California Resident,110,178,124,145,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
Out of State,0,1,1,0,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
California Resident,785,828,778,828,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Out of State,0,2,1,0,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Blank/Invalid,0,0,1,1,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
California Resident,2034,2202,2108,1975,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Out of State,13,10,13,15,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Unknown,1,0,0,0,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
California Resident,124,121,102,125,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
Out of State,0,0,0,1,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
California Resident,161,144,119,87,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
California Resident,641,673,635,718,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
Out of State,176,198,184,181,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
Unknown,1,2,0,1,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
California Resident,372,372,373,356,BAY AREA DENTAL SURGERY CENTER #434211,Ambulatory Surgery
California Resident,7,20,19,33,BEAR VALLEY COMMUNITY HOSPITAL #361110,Ambulatory Surgery
California Resident,251,213,234,210,"BEVERLY HILLS INTEGRATED SURGICAL, INC. #197833",Ambulatory Surgery
Out of State,10,5,10,6,"BEVERLY HILLS INTEGRATED SURGICAL, INC. #197833",Ambulatory Surgery
California Resident,1196,1166,1340,1186,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Ambulatory Surgery
Blank/Invalid,0,1,0,0,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Ambulatory Surgery
California Resident,804,839,835,879,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Ambulatory Surgery
Out of State,30,25,27,29,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Ambulatory Surgery
Does Not Reside in US,0,1,0,0,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Ambulatory Surgery
Unknown,0,0,0,1,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Ambulatory Surgery
California Resident,461,446,456,478,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Ambulatory Surgery
Out of State,3,2,1,3,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Ambulatory Surgery
California Resident,2802,2880,3041,2942,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Ambulatory Surgery
Out of State,26,47,27,31,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Ambulatory Surgery
Does Not Reside in US,0,0,1,3,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Ambulatory Surgery
Unknown,1,1,2,0,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Ambulatory Surgery
California Resident,743,818,813,773,CASA COLINA HOSPITAL #190137,Ambulatory Surgery
Out of State,6,7,5,1,CASA COLINA HOSPITAL #190137,Ambulatory Surgery
Blank/Invalid,0,0,0,1,CASA COLINA HOSPITAL #190137,Ambulatory Surgery
California Resident,732,803,754,815,CEDARS-SINAI MARINA HOSPITAL #190500,Ambulatory Surgery
Out of State,34,35,26,37,CEDARS-SINAI MARINA HOSPITAL #190500,Ambulatory Surgery
Does Not Reside in US,1,4,2,0,CEDARS-SINAI MARINA HOSPITAL #190500,Ambulatory Surgery
California Resident,4876,5026,5149,5177,CEDARS-SINAI MEDICAL CENTER #190555,Ambulatory Surgery
Out of State,156,157,148,131,CEDARS-SINAI MEDICAL CENTER #190555,Ambulatory Surgery
Does Not Reside in US,20,14,6,5,CEDARS-SINAI MEDICAL CENTER #190555,Ambulatory Surgery
Blank/Invalid,1,1,0,0,CEDARS-SINAI MEDICAL CENTER #190555,Ambulatory Surgery
California Resident,96,102,95,118,CENTINELA HOSPITAL MEDICAL CENTER #190148,Ambulatory Surgery
Does Not Reside in US,0,1,1,0,CENTINELA HOSPITAL MEDICAL CENTER #190148,Ambulatory Surgery
California Resident,281,331,371,338,CENTRAL CALIFORNIA DENTAL SURGERY CENTER #244030,Ambulatory Surgery
California Resident,139,126,118,119,CHAPMAN GLOBAL MEDICAL CENTER #301140,Ambulatory Surgery
Out of State,2,1,0,1,CHAPMAN GLOBAL MEDICAL CENTER #301140,Ambulatory Surgery
California Resident,90,95,112,93,CHILDREN'S HOSPITAL AT MISSION #304113,Ambulatory Surgery
Out of State,0,0,1,1,CHILDREN'S HOSPITAL AT MISSION #304113,Ambulatory Surgery
California Resident,3491,3627,3851,3480,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Ambulatory Surgery
Out of State,44,59,63,62,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Ambulatory Surgery
Blank/Invalid,11,2,14,10,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Ambulatory Surgery
California Resident,2885,2856,2787,2745,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Ambulatory Surgery
Out of State,10,9,16,16,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Ambulatory Surgery
Does Not Reside in US,0,2,2,0,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Ambulatory Surgery
Blank/Invalid,20,0,1,1,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Ambulatory Surgery
California Resident,668,734,709,707,CHINESE HOSPITAL #382715,Ambulatory Surgery
California Resident,139,166,163,143,CHINO VALLEY MEDICAL CENTER #361144,Ambulatory Surgery
Does Not Reside in US,0,0,1,0,CHINO VALLEY MEDICAL CENTER #361144,Ambulatory Surgery
Blank/Invalid,0,0,0,1,CHINO VALLEY MEDICAL CENTER #361144,Ambulatory Surgery
California Resident,2885,3672,3607,3627,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL #190176,Ambulatory Surgery
Out of State,72,99,96,98,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL #190176,Ambulatory Surgery
Does Not Reside in US,1,0,0,0,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL #190176,Ambulatory Surgery
California Resident,228,178,197,203,COAST PLAZA HOSPITAL #190766,Ambulatory Surgery
California Resident,139,190,129,181,COLLEGE HOSPITAL COSTA MESA #301155,Ambulatory Surgery
Out of State,0,0,3,0,COLLEGE HOSPITAL COSTA MESA #301155,Ambulatory Surgery
California Resident,212,260,166,97,COLLEGE MEDICAL CENTER #190587,Ambulatory Surgery
California Resident,15,3,13,4,COLORADO RIVER MEDICAL CENTER #361458,Ambulatory Surgery
Out of State,3,1,1,1,COLORADO RIVER MEDICAL CENTER #361458,Ambulatory Surgery
California Resident,55,154,166,150,COLUSA MEDICAL CENTER #060870,Ambulatory Surgery
Out of State,0,1,0,0,COLUSA MEDICAL CENTER #060870,Ambulatory Surgery
California Resident,40,28,47,46,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Ambulatory Surgery
California Resident,465,515,508,538,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Ambulatory Surgery
California Resident,2523,2619,2387,2441,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
Out of State,18,16,21,12,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
Does Not Reside in US,0,0,1,1,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
Unknown,0,1,0,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
California Resident,6295,6819,6596,6450,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Out of State,8,14,11,5,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Does Not Reside in US,1,0,1,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Unknown,33,25,28,36,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
California Resident,1103,1202,1226,1107,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
Out of State,3,2,1,1,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
California Resident,960,963,942,849,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Out of State,2,2,3,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Unknown,0,0,0,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
California Resident,856,1002,1011,1169,DAMERON HOSPITAL #390846,Ambulatory Surgery
Out of State,1,1,0,2,DAMERON HOSPITAL #390846,Ambulatory Surgery
Blank/Invalid,3,1,0,0,DAMERON HOSPITAL #390846,Ambulatory Surgery
California Resident,427,351,420,338,DELTA SURGICAL #394088,Ambulatory Surgery
California Resident,1063,1264,1207,1041,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Out of State,22,8,3,6,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Does Not Reside in US,2,0,0,0,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
California Resident,418,455,472,482,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Out of State,1,0,1,3,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Blank/Invalid,2,0,0,0,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
California Resident,30,31,24,16,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
Out of State,1,0,1,1,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
California Resident,1142,1148,1309,1355,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Out of State,2,1,0,1,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Unknown,3,1,0,0,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Blank/Invalid,0,1,1,0,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
California Resident,513,518,555,459,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Out of State,1,0,0,0,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Unknown,0,0,2,1,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
California Resident,3591,3948,3943,4278,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Out of State,1,4,2,5,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Unknown,0,0,0,1,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Blank/Invalid,3,2,0,0,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
California Resident,1280,1306,1286,1328,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Out of State,4,6,4,4,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Unknown,4,1,3,0,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Blank/Invalid,3,0,0,0,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
California Resident,326,323,344,346,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
Unknown,0,1,0,0,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
Blank/Invalid,1,0,1,0,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
California Resident,42,30,46,45,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
Out of State,0,0,0,1,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
California Resident,650,746,757,715,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Out of State,2,5,1,6,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Does Not Reside in US,0,0,1,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Blank/Invalid,0,1,0,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
California Resident,6003,6422,6295,6207,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Out of State,432,251,64,173,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Does Not Reside in US,30,4,2,4,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
California Resident,4339,4300,4506,4723,EL CAMINO HEALTH #430763,Ambulatory Surgery
Out of State,29,33,31,35,EL CAMINO HEALTH #430763,Ambulatory Surgery
Does Not Reside in US,1,0,1,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
Unknown,0,2,0,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
California Resident,1072,1087,997,981,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Out of State,3,5,3,5,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
California Resident,904,869,874,830,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Out of State,1,9,6,2,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Unknown,0,0,0,1,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Blank/Invalid,0,1,0,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
California Resident,592,604,629,612,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Out of State,1,0,2,2,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Unknown,0,1,0,0,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
California Resident,1127,1320,1345,1346,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Out of State,0,1,5,1,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
California Resident,1759,1813,1875,1804,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Out of State,2,1,0,1,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Unknown,1,1,0,0,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
California Resident,26,18,26,12,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
Out of State,0,0,1,0,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
California Resident,4547,4912,5038,4976,ENLOE HEALTH #040962,Ambulatory Surgery
Out of State,2,4,4,2,ENLOE HEALTH #040962,Ambulatory Surgery
Unknown,1,0,3,0,ENLOE HEALTH #040962,Ambulatory Surgery
California Resident,822,909,1009,1037,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
Out of State,14,14,22,11,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
California Resident,363,323,274,277,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
Out of State,1,1,2,0,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
Does Not Reside in US,1,0,0,0,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
Blank/Invalid,1,0,0,1,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
California Resident,1623,1581,1478,1636,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Out of State,1,5,11,8,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Does Not Reside in US,0,0,1,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Unknown,3,1,0,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Blank/Invalid,0,7,1,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
California Resident,1429,1358,1396,1147,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
Blank/Invalid,1,0,0,0,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
California Resident,1556,1555,1423,1442,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
Out of State,2,9,4,6,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
Blank/Invalid,0,3,0,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
California Resident,48,19,19,12,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
Out of State,1,0,0,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
California Resident,842,903,901,822,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Out of State,1,1,0,0,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Unknown,0,1,0,0,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Blank/Invalid,0,1,0,0,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
California Resident,309,263,328,328,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
California Resident,1289,1397,1440,1430,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Out of State,3,3,0,3,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Unknown,3,0,0,3,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Blank/Invalid,4,3,2,5,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
California Resident,579,555,494,515,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Out of State,13,10,7,7,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Unknown,1,3,1,0,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
California Resident,21,24,21,23,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
California Resident,2138,2281,2154,2296,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
Out of State,11,13,11,19,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
California Resident,265,219,291,247,GRACE SURGERY CENTER #424085,Ambulatory Surgery
California Resident,6,9,15,12,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
California Resident,3233,3584,3679,3534,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Out of State,22,22,15,23,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Does Not Reside in US,0,1,0,0,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Blank/Invalid,2,0,0,0,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
California Resident,628,757,741,681,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
Out of State,0,0,1,0,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
Blank/Invalid,2,1,0,0,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
California Resident,335,391,405,401,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
Out of State,1,0,1,1,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
Blank/Invalid,0,1,0,0,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
California Resident,212,264,224,195,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
