EXPECTED PAYER SOURCE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Other,4,5,3,1,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Other federal program,5,7,4,2,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
CHAMPUS (TRICARE),2,3,1,1,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Commercial Insurance Company,3,3,1,1,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Health Maintenance Organization,154,209,201,238,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,169,168,180,220,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Medicaid (Medi-Cal),435,522,478,544,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Medicare Part B,470,479,463,440,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Preferred Provider Organization (PPO),218,200,210,244,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Self Pay,1,0,0,1,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Title V,1,0,0,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Workers' Compensation Health Claim,3,2,1,6,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Other,1,1,0,5,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Other federal program,8,7,8,6,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Other Non-federal programs,0,2,2,2,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Automobile Medical,0,1,0,1,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
CHAMPUS (TRICARE),61,73,37,51,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Commercial Insurance Company,20,20,14,17,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Health Maintenance Organization,185,199,181,167,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,131,161,129,152,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Medicaid (Medi-Cal),1250,1394,1337,1186,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Medicare Part B,382,443,374,342,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Preferred Provider Organization (PPO),564,662,569,585,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Self Pay,12,6,21,12,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Title V,1,4,7,5,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Veterans Affairs Plan,5,2,5,3,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Workers' Compensation Health Claim,6,7,11,13,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Other,9,13,26,19,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Other federal program,2,8,11,14,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Other Non-federal programs,1,0,0,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Automobile Medical,1,0,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Commercial Insurance Company,4,2,1,1,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Health Maintenance Organization,9,4,2,1,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,10,5,14,7,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Medicaid (Medi-Cal),73,52,60,55,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Medicare Part B,125,80,73,69,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Preferred Provider Organization (PPO),83,54,52,37,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Self Pay,1,1,3,1,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Veterans Affairs Plan,7,3,4,6,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Workers' Compensation Health Claim,0,1,1,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Other,1,0,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Other federal program,0,0,1,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Other Non-federal programs,1,0,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
CHAMPUS (TRICARE),5,3,4,4,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Commercial Insurance Company,0,0,2,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Health Maintenance Organization,85,68,53,76,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,162,175,147,163,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Medicaid (Medi-Cal),452,399,420,374,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Medicare Part B,400,298,253,294,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Preferred Provider Organization (PPO),261,236,228,219,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Self Pay,3,0,2,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Title V,3,1,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Veterans Affairs Plan,3,8,2,3,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Workers' Compensation Health Claim,8,2,6,6,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Other,4,2,1,2,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Other federal program,16,9,9,2,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Other Non-federal programs,9,9,6,11,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
CHAMPUS (TRICARE),0,1,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Commercial Insurance Company,0,1,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Health Maintenance Organization,10,11,9,7,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,17,15,18,12,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Medicaid (Medi-Cal),38,31,37,33,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Medicare Part B,177,164,144,155,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Preferred Provider Organization (PPO),51,48,41,72,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Self Pay,0,1,1,1,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Title V,1,0,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Veterans Affairs Plan,6,4,14,3,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Workers' Compensation Health Claim,0,2,2,1,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Commercial Insurance Company,0,1,0,1,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Health Maintenance Organization,1,2,0,1,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,0,1,1,1,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Medicaid (Medi-Cal),43,41,33,50,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Medicare Part B,3,2,3,5,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Preferred Provider Organization (PPO),11,12,7,15,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Self Pay,0,0,0,1,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Title V,0,0,0,1,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Veterans Affairs Plan,1,1,0,1,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
CHAMPUS (TRICARE),6,6,5,6,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Commercial Insurance Company,7,1,10,15,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Exclusive Provider Organization (EPO),1,0,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Health Maintenance Organization,79,424,101,96,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,139,168,155,176,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Medicaid (Medi-Cal),138,133,99,84,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Medicare Part B,426,343,257,254,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Point of Service (POS),12,0,8,10,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Preferred Provider Organization (PPO),326,0,265,252,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Self Pay,3,2,2,0,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Veterans Affairs Plan,0,0,1,0,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Workers' Compensation Health Claim,7,8,2,4,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Other,0,7,3,1,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Other Non-federal programs,38,25,25,26,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
CHAMPUS (TRICARE),2,3,7,6,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Commercial Insurance Company,2,1,1,2,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Health Maintenance Organization,81,62,52,61,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,112,118,112,131,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Medicaid (Medi-Cal),187,186,157,25,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Medicare Part B,167,203,189,224,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Preferred Provider Organization (PPO),154,172,177,253,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Self Pay,3,7,5,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Veterans Affairs Plan,4,5,1,6,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Workers' Compensation Health Claim,3,2,2,3,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Other federal program,4,3,2,6,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Automobile Medical,1,0,1,2,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
CHAMPUS (TRICARE),4,3,1,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Commercial Insurance Company,6,4,6,3,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Health Maintenance Organization,2,1,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,100,97,109,101,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Medicaid (Medi-Cal),191,205,179,166,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Medicare Part B,933,909,868,831,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Preferred Provider Organization (PPO),459,469,456,418,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Self Pay,10,6,8,3,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Title V,1,2,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Veterans Affairs Plan,25,25,32,33,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Workers' Compensation Health Claim,31,24,31,26,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Other,0,1,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Other federal program,0,0,0,1,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Other Non-federal programs,5,5,8,2,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
CHAMPUS (TRICARE),5,4,3,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Commercial Insurance Company,20,24,16,29,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Health Maintenance Organization,24,26,34,16,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,84,106,100,111,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Medicaid (Medi-Cal),298,306,279,213,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Medicare Part B,545,602,657,555,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Preferred Provider Organization (PPO),281,370,345,330,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Self Pay,14,7,2,5,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Title V,1,0,0,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Veterans Affairs Plan,28,16,8,13,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Workers' Compensation Health Claim,5,4,7,3,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Other,5,5,7,9,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Other federal program,1,0,0,1,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Other Non-federal programs,0,0,0,2,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
CHAMPUS (TRICARE),5,4,7,3,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Commercial Insurance Company,0,1,3,2,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Health Maintenance Organization,2,2,1,0,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,6,6,10,6,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Medicaid (Medi-Cal),34,35,30,37,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Medicare Part B,41,37,36,45,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Preferred Provider Organization (PPO),34,35,36,36,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Title V,0,0,1,0,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Veterans Affairs Plan,7,5,8,11,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Workers' Compensation Health Claim,0,0,0,1,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Other Non-federal programs,6,7,18,20,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Automobile Medical,0,1,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
CHAMPUS (TRICARE),4,2,3,3,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Commercial Insurance Company,11,12,18,19,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Health Maintenance Organization,33,26,36,29,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,59,78,71,50,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Medicaid (Medi-Cal),323,361,320,312,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Medicare Part B,605,635,584,539,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Preferred Provider Organization (PPO),369,359,336,414,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Self Pay,8,6,12,6,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Title V,2,0,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Veterans Affairs Plan,17,31,32,29,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Workers' Compensation Health Claim,1,2,3,7,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Other,0,1,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Other federal program,0,4,4,1,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Other Non-federal programs,0,0,1,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
CHAMPUS (TRICARE),1,0,1,3,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Commercial Insurance Company,2,4,3,2,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Exclusive Provider Organization (EPO),2,0,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Health Maintenance Organization,201,218,257,240,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,464,460,444,402,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Medicaid (Medi-Cal),1615,1651,1662,1556,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Medicare Part B,170,164,130,135,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Preferred Provider Organization (PPO),115,136,115,101,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Self Pay,8,5,2,3,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Title V,13,19,21,23,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Veterans Affairs Plan,0,0,0,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Workers' Compensation Health Claim,6,5,9,6,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Other,14,19,47,32,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Other federal program,8,10,17,15,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Other Non-federal programs,1,4,1,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Blank/Invalid,0,0,0,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Commercial Insurance Company,1,1,2,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Health Maintenance Organization,0,9,9,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,39,22,61,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Medicaid (Medi-Cal),190,116,306,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Medicare Part B,203,33,236,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Preferred Provider Organization (PPO),20,16,36,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Self Pay,3,1,4,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Workers' Compensation Health Claim,0,2,2,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Self Pay,19,30,21,25,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
Blue Cross/Blue Shield,57,63,66,69,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
CHAMPUS (TRICARE),1,0,0,1,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Commercial Insurance Company,45,37,38,43,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Health Maintenance Organization,69,82,66,49,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,200,253,200,199,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Medicaid (Medi-Cal),420,472,411,411,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Medicare Part B,116,94,113,94,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Preferred Provider Organization (PPO),8,9,5,5,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Self Pay,0,0,1,1,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
