Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
1627,1594,1491,1645,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
1430,1358,1396,1147,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
1558,1567,1427,1448,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
49,19,19,12,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
843,906,901,822,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
309,263,328,328,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
1299,1403,1442,1441,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
593,568,502,522,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
21,24,21,23,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
2149,2294,2165,2315,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
265,219,291,247,GRACE SURGERY CENTER #424085,Ambulatory Surgery
6,9,15,12,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
3257,3607,3694,3557,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
630,758,742,681,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
336,392,406,402,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
213,264,224,197,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
268,235,228,167,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
1022,1099,1204,1182,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
91,70,38,40,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
437,389,324,305,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
2020,1932,2212,1902,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
6131,5253,5670,5968,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
1077,938,897,1017,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
1349,1354,1315,1390,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
11,4,2,17,HUNTINGTON BEACH HOSPITAL #301209,Ambulatory Surgery
2046,2048,2208,2450,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
488,545,585,527,INDIO SURGERY CENTER INC. #334578,Ambulatory Surgery
20,16,17,20,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Ambulatory Surgery
851,858,886,857,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
1710,1730,1750,1757,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
1634,1684,1763,1758,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
1864,1960,1942,1958,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
1678,1707,1644,1666,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
6714,6739,6735,6671,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
4293,4425,4390,4375,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
7001,7050,7050,7317,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
3074,3339,3231,3311,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
5184,5197,5140,5077,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
3557,3654,3693,3553,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Ambulatory Surgery
2415,2436,2457,2455,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Ambulatory Surgery
5378,5843,5826,5622,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Ambulatory Surgery
5489,5787,5774,5704,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Ambulatory Surgery
2133,2194,2189,2179,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Ambulatory Surgery
2005,2115,2103,1968,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Ambulatory Surgery
1247,1332,1280,1244,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Ambulatory Surgery
1722,1842,1797,1720,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Ambulatory Surgery
3970,4221,3981,4112,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Ambulatory Surgery
3726,3927,3831,3813,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Ambulatory Surgery
6114,6046,5522,5636,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Ambulatory Surgery
4226,4266,4156,3948,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Ambulatory Surgery
2859,2900,2828,2755,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Ambulatory Surgery
2783,2906,3166,2991,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Ambulatory Surgery
2269,2341,2149,2166,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Ambulatory Surgery
1183,1219,1191,1175,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Ambulatory Surgery
4280,4446,4412,4417,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Ambulatory Surgery
3890,4101,4111,4083,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Ambulatory Surgery
4720,4679,4479,4661,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Ambulatory Surgery
2692,2676,2855,2822,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Ambulatory Surgery
1201,1211,1216,1145,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Ambulatory Surgery
2161,2243,2359,2299,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Ambulatory Surgery
3313,3481,3396,3208,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Ambulatory Surgery
2500,2482,2497,2500,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Ambulatory Surgery
3184,3200,3018,3002,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Ambulatory Surgery
19,304,419,742,"KAISER FOUNDATION HOSPITALS, AMBULATORY SURGERY CENTER, ANTE #190024",Ambulatory Surgery
2648,2573,2325,2487,KAWEAH HEALTH MEDICAL CENTER #540734,Ambulatory Surgery
6029,6144,6448,5977,KECK HOSPITAL OF USC #194219,Ambulatory Surgery
1092,1089,1153,1066,KERN MEDICAL CENTER #150736,Ambulatory Surgery
571,606,639,725,"KERN MEDICAL SURGERY CENTER, LLC. #150421",Ambulatory Surgery
2,2,,,KERN VALLEY HEALTHCARE DISTRICT #150737,Ambulatory Surgery
111,97,104,89,L.A. DOWNTOWN MEDICAL CENTER #190661,Ambulatory Surgery
24,15,21,11,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Ambulatory Surgery
1755,1698,1815,1703,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Ambulatory Surgery
273,293,276,265,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER #191306,Ambulatory Surgery
1060,1381,1277,1285,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Ambulatory Surgery
6538,6471,6200,6364,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Ambulatory Surgery
1094,1214,1165,1130,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
911,1002,941,989,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
48,61,69,67,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
1687,1688,1801,1731,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
3061,3134,2983,3088,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
1998,2087,1952,1969,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
2652,2795,2988,2696,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
712,658,636,749,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
417,464,436,473,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
2220,1901,1913,1853,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
404,257,300,357,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
2308,2559,2608,2542,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
483,561,585,637,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
1738,1786,1725,1796,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
814,818,815,900,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
10,53,29,44,MAYERS MEMORIAL HOSPITAL #450936,Ambulatory Surgery
204,218,195,189,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
287,261,255,254,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
4226,4640,4833,5001,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
1627,1608,1731,1688,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
792,736,939,854,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH #196168,Ambulatory Surgery
1776,1758,1878,1886,MEMORIALCARE ORANGE COAST MEDICAL CENTER #300225,Ambulatory Surgery
1233,1123,1187,1181,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Ambulatory Surgery
5,44,36,63,MENIFEE GLOBAL MEDICAL CENTER #334018,Ambulatory Surgery
2679,2688,2695,2579,MERCY GENERAL HOSPITAL #340947,Ambulatory Surgery
1534,1814,1587,1697,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
408,364,345,447,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
1154,1101,1222,1252,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
1927,2049,2090,2102,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
428,415,413,392,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
1279,1347,1374,1348,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
1005,1126,1124,1056,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
2830,2821,2888,2945,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
146,169,163,180,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
69,59,60,67,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
22,35,21,21,MONROVIA MEMORIAL HOSPITAL #190541,Ambulatory Surgery
204,216,256,281,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
584,611,528,525,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
50,27,21,25,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
776,773,775,747,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
1146,1132,1131,1131,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
365,356,348,373,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
751,822,798,903,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
130,145,161,116,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
593,513,495,508,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
2050,1534,1735,1870,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
157,205,143,148,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
378,259,281,260,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
1663,1659,1722,1939,OROVILLE HOSPITAL #040937,Ambulatory Surgery
8,18,16,8,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
707,698,672,706,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
48,49,63,50,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
919,888,851,886,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
724,685,651,731,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
142,184,194,167,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
233,252,264,298,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
390,424,472,432,PDI SURGERY CENTER #494103,Ambulatory Surgery
588,594,671,616,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
1482,1605,1844,1517,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
1718,1643,1623,1453,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
6197,6399,6269,5496,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
968,883,746,711,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
137,171,137,172,PLUMAS DISTRICT HOSPITAL #320986,Ambulatory Surgery
2539,2731,2577,2520,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Ambulatory Surgery
2021,2091,2051,2046,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
1578,1438,1533,1479,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
2151,2296,2323,2230,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
489,554,362,481,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
2843,2804,2831,2888,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
2659,4954,5054,4849,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
381,342,331,319,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Ambulatory Surgery
1811,1868,1853,1802,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
435,466,414,532,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Ambulatory Surgery
2471,2631,2724,2581,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Ambulatory Surgery
3609,3573,3605,3399,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Ambulatory Surgery
2946,2943,2921,2761,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Ambulatory Surgery
2419,2225,2384,2641,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA #121080,Ambulatory Surgery
2954,7597,7667,7025,PROVIDENCE ST. JUDE MEDICAL CENTER #301342,Ambulatory Surgery
1787,1857,1845,1585,PROVIDENCE ST. MARY MEDICAL CENTER #361343,Ambulatory Surgery
4265,4631,4673,4647,RADY CHILDREN'S HOSPITAL - SAN DIEGO #370673,Ambulatory Surgery
1460,1435,1422,1495,REDLANDS COMMUNITY HOSPITAL #361308,Ambulatory Surgery
703,616,630,719,REDLANDS DENTAL SURGERY CENTER #364122,Ambulatory Surgery
455,487,262,203,REGIONAL MEDICAL CENTER OF SAN JOSE #430705,Ambulatory Surgery
280,301,279,337,RIDGECREST REGIONAL HOSPITAL #150782,Ambulatory Surgery
10,7,2,19,RIDGECREST REGIONAL HOSPITAL AMBULATORY SURGERY CENTER #150798,Ambulatory Surgery
2233,2109,2093,2134,RIVERSIDE COMMUNITY HOSPITAL #331312,Ambulatory Surgery
2909,2746,2795,2635,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER #334487,Ambulatory Surgery
9498,9963,9980,9620,RONALD REAGAN UCLA MEDICAL CENTER #190796,Ambulatory Surgery
2457,2635,2512,2553,SAINT JOHN'S HEALTH CENTER #190756,Ambulatory Surgery
574,574,659,575,SALIDA SURGERY CENTER #504055,Ambulatory Surgery
652,748,720,775,SALINAS VALLEY HEALTH MEDICAL CENTER #270875,Ambulatory Surgery
2014,2006,2108,2062,SAN ANTONIO REGIONAL HOSPITAL #361318,Ambulatory Surgery
398,382,493,401,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
496,493,485,484,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
339,313,280,224,SAN GORGONIO MEMORIAL HOSPITAL #331326,Ambulatory Surgery
1103,1165,1260,1193,SAN JOAQUIN GENERAL HOSPITAL #391010,Ambulatory Surgery
193,204,161,146,SAN JOSE DENTAL SURGERY CENTER #434201,Ambulatory Surgery
901,847,891,580,SAN MATEO MEDICAL CENTER #410782,Ambulatory Surgery
1124,1110,1062,1146,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
2659,2826,2771,2629,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
5509,6227,7446,6217,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
5894,6430,6945,6635,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
165,191,175,147,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Ambulatory Surgery
4857,4734,4660,4944,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
1589,1654,1465,1320,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
1665,1746,1659,1671,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
5340,5453,5418,5310,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
2988,2848,2974,3034,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
33,40,57,44,SENECA DISTRICT HOSPITAL #321016,Ambulatory Surgery
1617,1655,1652,1729,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
1669,1752,1795,1615,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
875,707,750,776,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
610,769,769,783,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS #370695,Ambulatory Surgery
4726,4296,4558,4967,SHARP MEMORIAL HOSPITAL #370694,Ambulatory Surgery
987,761,786,659,SHASTA REGIONAL MEDICAL CENTER #450940,Ambulatory Surgery
27,32,22,28,SHERMAN OAKS HOSPITAL  #190708,Ambulatory Surgery
165,220,214,201,SHRINERS FOR CHILDREN AMBULATORY SURGICAL CENTER #197915,Ambulatory Surgery
285,310,359,373,SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF. #344114,Ambulatory Surgery
242,240,234,249,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Ambulatory Surgery
1139,1245,1215,1151,SIERRA VIEW MEDICAL CENTER #540798,Ambulatory Surgery
371,340,343,387,SONOMA VALLEY HOSPITAL #491076,Ambulatory Surgery
254,231,194,244,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Ambulatory Surgery
649,734,638,687,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Ambulatory Surgery
28,27,20,13,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD #190380,Ambulatory Surgery
861,940,877,923,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Ambulatory Surgery
5225,5588,5385,5414,ST. AGNES MEDICAL CENTER #100899,Ambulatory Surgery
