ZIP CODE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Out of State,94,105,116,121,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Unknown,599,583,465,424,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Blank/Invalid,0,7,7,14,ADVENTIST HEALTH HANFORD #164029,Emergency Department
California Resident,3553,3700,3647,3547,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Out of State,29,39,64,31,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Does Not Reside in US,0,2,1,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Unknown,25,3,9,2,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Blank/Invalid,1,0,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
California Resident,13617,13958,13180,13301,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Out of State,76,96,122,96,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Unknown,73,43,60,58,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Blank/Invalid,8,3,1,4,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
California Resident,2513,2612,2852,2467,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Out of State,37,49,74,55,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Does Not Reside in US,0,3,7,1,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Unknown,8,4,3,4,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
California Resident,8758,9558,9444,9123,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Out of State,15,18,23,22,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Does Not Reside in US,1,1,2,2,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Unknown,178,164,166,145,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Blank/Invalid,2,0,2,1,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
California Resident,5021,4847,4873,4891,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Out of State,121,128,99,117,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Does Not Reside in US,3,2,3,1,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Unknown,25,9,10,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Blank/Invalid,0,7,0,11,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
California Resident,9513,9654,9485,10146,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Out of State,104,147,163,160,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Does Not Reside in US,1,0,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Unknown,204,166,152,142,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Blank/Invalid,5,0,2,2,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
California Resident,7615,8163,8180,7735,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Out of State,49,108,125,90,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Does Not Reside in US,1,5,6,3,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Unknown,165,181,181,125,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Blank/Invalid,7,5,12,2,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
California Resident,1428,1626,1555,1466,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Out of State,53,64,70,97,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Does Not Reside in US,7,8,7,5,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Unknown,4,8,2,3,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
California Resident,5082,5425,5424,5860,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Out of State,51,103,101,94,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Does Not Reside in US,1,0,0,0,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Unknown,11,32,37,24,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
California Resident,7600,8139,8010,8002,ADVENTIST HEALTH TULARE #540816,Emergency Department
Out of State,43,41,47,39,ADVENTIST HEALTH TULARE #540816,Emergency Department
Does Not Reside in US,0,0,2,0,ADVENTIST HEALTH TULARE #540816,Emergency Department
Unknown,88,82,86,73,ADVENTIST HEALTH TULARE #540816,Emergency Department
Blank/Invalid,5,2,2,0,ADVENTIST HEALTH TULARE #540816,Emergency Department
California Resident,6699,7205,7172,6961,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Out of State,85,126,97,112,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Does Not Reside in US,6,4,6,0,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Unknown,35,25,27,34,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Blank/Invalid,0,0,21,2,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
California Resident,7490,7773,7717,7266,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Out of State,51,72,70,38,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Does Not Reside in US,4,4,3,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Unknown,21,29,8,9,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
California Resident,13158,13429,20005,21176,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Out of State,47,55,120,77,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Does Not Reside in US,0,2,7,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Unknown,181,190,136,105,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Blank/Invalid,36,1,14,5,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
California Resident,7147,6858,14005,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Out of State,33,18,51,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Does Not Reside in US,3,0,3,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Unknown,37,66,103,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Blank/Invalid,3,8,11,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
California Resident,6512,6841,7204,7211,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Out of State,92,84,88,80,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Does Not Reside in US,6,5,8,11,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Unknown,3,6,7,4,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Blank/Invalid,2,1,0,1,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
California Resident,3421,3328,3409,3282,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Out of State,41,38,44,35,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Does Not Reside in US,1,4,5,1,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Unknown,1,0,1,0,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Blank/Invalid,2,4,4,2,AHMC SETON MEDICAL CENTER #410817,Emergency Department
California Resident,4038,4091,4204,4014,ALAMEDA HOSPITAL #010735,Emergency Department
Out of State,42,56,72,64,ALAMEDA HOSPITAL #010735,Emergency Department
Unknown,76,60,59,68,ALAMEDA HOSPITAL #010735,Emergency Department
Blank/Invalid,14,1,9,5,ALAMEDA HOSPITAL #010735,Emergency Department
California Resident,4080,4323,4233,4361,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Out of State,26,39,31,59,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Does Not Reside in US,4,4,3,4,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Unknown,8,7,7,11,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
California Resident,7165,7497,7899,7654,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Out of State,88,95,86,81,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Does Not Reside in US,8,3,21,7,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Unknown,403,389,413,472,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Blank/Invalid,1,0,1,0,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
California Resident,7897,7901,7795,7975,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Out of State,169,167,161,169,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Does Not Reside in US,29,31,53,24,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Unknown,298,246,255,270,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Blank/Invalid,1,2,1,1,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
California Resident,2714,2960,2876,2940,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Out of State,159,197,200,182,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Does Not Reside in US,9,14,22,11,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Unknown,24,19,14,13,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Blank/Invalid,0,1,1,0,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
California Resident,25154,26148,25455,25603,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Out of State,185,134,156,133,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Does Not Reside in US,1,4,1,3,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
California Resident,18511,18963,19233,18625,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Out of State,80,100,87,83,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Does Not Reside in US,2,1,2,2,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Unknown,63,55,64,62,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Blank/Invalid,6,40,34,32,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
California Resident,20368,21528,20517,20410,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Out of State,62,79,76,82,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Does Not Reside in US,4,1,3,6,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Unknown,80,24,210,97,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Blank/Invalid,262,1,1,0,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
California Resident,2642,2710,2769,2506,BANNER LASSEN MEDICAL CENTER #184008,Emergency Department
Out of State,29,72,83,43,BANNER LASSEN MEDICAL CENTER #184008,Emergency Department
Does Not Reside in US,130,0,0,0,BANNER LASSEN MEDICAL CENTER #184008,Emergency Department
Unknown,0,0,0,9,BANNER LASSEN MEDICAL CENTER #184008,Emergency Department
Blank/Invalid,0,1,0,0,BANNER LASSEN MEDICAL CENTER #184008,Emergency Department
California Resident,6513,7284,7091,7214,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
Out of State,157,190,177,160,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
Does Not Reside in US,1,1,0,1,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
Unknown,21,9,20,7,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
Blank/Invalid,24,0,0,0,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
California Resident,3919,3802,4102,3571,BARTON MEMORIAL HOSPITAL #090793,Emergency Department
Out of State,731,643,856,590,BARTON MEMORIAL HOSPITAL #090793,Emergency Department
Does Not Reside in US,39,19,36,28,BARTON MEMORIAL HOSPITAL #090793,Emergency Department
Unknown,53,62,59,59,BARTON MEMORIAL HOSPITAL #090793,Emergency Department
California Resident,3167,2541,2519,2669,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
Out of State,101,88,120,63,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
Does Not Reside in US,64,14,4,21,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
Unknown,0,0,0,2,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
Blank/Invalid,2,0,0,4,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
California Resident,14205,15361,16057,15725,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
Out of State,236,236,226,222,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
Does Not Reside in US,4,7,15,11,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
Unknown,622,318,134,61,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
Blank/Invalid,69,39,3,8,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
California Resident,2608,2558,2557,2613,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Emergency Department
Out of State,55,67,59,54,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Emergency Department
Does Not Reside in US,11,28,32,15,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Emergency Department
Unknown,150,112,148,136,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Emergency Department
Blank/Invalid,1,1,1,0,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Emergency Department
California Resident,4472,4462,4609,4651,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Emergency Department
Out of State,41,52,53,48,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Emergency Department
Does Not Reside in US,12,14,18,11,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Emergency Department
Unknown,343,272,381,385,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Emergency Department
Blank/Invalid,0,2,1,1,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Emergency Department
California Resident,7084,7159,7176,7896,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Emergency Department
Out of State,148,175,172,165,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Emergency Department
Does Not Reside in US,68,81,99,76,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Emergency Department
Unknown,599,497,605,569,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Emergency Department
Blank/Invalid,4,1,2,1,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Emergency Department
California Resident,8195,8247,8302,8514,CEDARS-SINAI MARINA HOSPITAL #190500,Emergency Department
Out of State,470,475,493,465,CEDARS-SINAI MARINA HOSPITAL #190500,Emergency Department
Does Not Reside in US,57,74,95,55,CEDARS-SINAI MARINA HOSPITAL #190500,Emergency Department
Blank/Invalid,3,1,0,5,CEDARS-SINAI MARINA HOSPITAL #190500,Emergency Department
California Resident,12326,13183,13640,14083,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
Out of State,619,530,603,624,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
Does Not Reside in US,101,84,140,80,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
Unknown,0,0,2,0,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
Blank/Invalid,1,1,1,0,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
California Resident,8173,8623,8992,8892,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
Out of State,210,232,269,261,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
Does Not Reside in US,24,30,29,22,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
Unknown,412,457,437,482,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
Blank/Invalid,1,0,2,4,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
California Resident,1067,1140,1112,1087,CHAPMAN GLOBAL MEDICAL CENTER #301140,Emergency Department
Out of State,20,17,24,26,CHAPMAN GLOBAL MEDICAL CENTER #301140,Emergency Department
Does Not Reside in US,2,2,1,1,CHAPMAN GLOBAL MEDICAL CENTER #301140,Emergency Department
Unknown,4,3,3,1,CHAPMAN GLOBAL MEDICAL CENTER #301140,Emergency Department
California Resident,2809,2748,2813,3261,CHILDREN'S HOSPITAL AT MISSION #304113,Emergency Department
Out of State,18,42,63,64,CHILDREN'S HOSPITAL AT MISSION #304113,Emergency Department
Does Not Reside in US,3,3,2,1,CHILDREN'S HOSPITAL AT MISSION #304113,Emergency Department
Unknown,5,8,4,5,CHILDREN'S HOSPITAL AT MISSION #304113,Emergency Department
California Resident,19270,18781,16984,20103,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Emergency Department
Out of State,82,98,122,87,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Emergency Department
Blank/Invalid,23,31,31,26,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Emergency Department
California Resident,26627,25039,22535,28124,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
Out of State,231,267,330,299,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
Does Not Reside in US,21,13,24,16,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
Unknown,2,1,0,2,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
Blank/Invalid,19,15,12,11,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
California Resident,1516,1591,1504,1577,CHINESE HOSPITAL #382715,Emergency Department
Out of State,22,15,23,15,CHINESE HOSPITAL #382715,Emergency Department
Does Not Reside in US,2,6,5,9,CHINESE HOSPITAL #382715,Emergency Department
Unknown,8,3,2,4,CHINESE HOSPITAL #382715,Emergency Department
California Resident,8669,8771,8807,8730,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
Out of State,70,72,86,87,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
Does Not Reside in US,11,1,0,2,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
Unknown,2,58,93,45,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
Blank/Invalid,0,0,1,1,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
California Resident,15826,17259,17578,17325,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
Out of State,75,115,114,115,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
Does Not Reside in US,2,2,3,3,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
Unknown,188,180,138,201,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
Blank/Invalid,0,0,1,5,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
California Resident,2085,2138,2099,2304,COAST PLAZA HOSPITAL #190766,Emergency Department
Out of State,9,18,16,9,COAST PLAZA HOSPITAL #190766,Emergency Department
Unknown,17,18,25,20,COAST PLAZA HOSPITAL #190766,Emergency Department
California Resident,1303,1349,1391,1551,COLLEGE MEDICAL CENTER #190587,Emergency Department
Out of State,39,18,24,23,COLLEGE MEDICAL CENTER #190587,Emergency Department
Does Not Reside in US,0,0,2,1,COLLEGE MEDICAL CENTER #190587,Emergency Department
Unknown,0,1,0,1,COLLEGE MEDICAL CENTER #190587,Emergency Department
Blank/Invalid,0,0,0,1,COLLEGE MEDICAL CENTER #190587,Emergency Department
California Resident,929,953,974,933,COLORADO RIVER MEDICAL CENTER #361458,Emergency Department
Out of State,182,206,197,177,COLORADO RIVER MEDICAL CENTER #361458,Emergency Department
Does Not Reside in US,4,4,4,2,COLORADO RIVER MEDICAL CENTER #361458,Emergency Department
Blank/Invalid,0,0,1,10,COLORADO RIVER MEDICAL CENTER #361458,Emergency Department
California Resident,1110,1415,1267,1277,COLUSA MEDICAL CENTER #060870,Emergency Department
Out of State,13,20,16,17,COLUSA MEDICAL CENTER #060870,Emergency Department
Unknown,0,1,0,0,COLUSA MEDICAL CENTER #060870,Emergency Department
Blank/Invalid,2,0,0,0,COLUSA MEDICAL CENTER #060870,Emergency Department
California Resident,7439,7795,7551,7622,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Emergency Department
Out of State,9,16,12,17,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Emergency Department
Unknown,58,73,98,125,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Emergency Department
Blank/Invalid,23,2,0,0,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Emergency Department
California Resident,13831,14397,14060,15111,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
Out of State,59,72,61,54,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
Does Not Reside in US,0,1,0,0,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
Unknown,27,53,29,79,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
Blank/Invalid,5,9,69,3,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
California Resident,10864,10924,10967,11199,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Out of State,191,252,377,262,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Does Not Reside in US,14,29,50,27,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Unknown,30,31,32,31,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Blank/Invalid,0,2,0,1,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
California Resident,2088,2194,2178,2141,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
Out of State,54,56,59,56,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
Does Not Reside in US,15,21,29,25,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
Unknown,1,0,0,0,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
Blank/Invalid,32,18,18,15,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
California Resident,12467,12848,12582,12879,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
Out of State,79,91,110,107,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
Does Not Reside in US,12,10,14,15,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
Unknown,0,0,1,0,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
Blank/Invalid,58,101,105,90,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
California Resident,18992,20432,21306,20536,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
Out of State,76,115,114,87,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
Does Not Reside in US,1,3,14,3,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
Unknown,1512,1501,1352,1648,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
California Resident,9521,9944,9851,9237,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
Out of State,37,46,35,38,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
Unknown,10,2,1,4,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
California Resident,11564,11997,12094,12438,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
Out of State,130,130,152,163,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
Does Not Reside in US,0,1,2,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
Unknown,58,35,25,29,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
California Resident,8106,8338,8237,24681,DAMERON HOSPITAL #390846,Emergency Department
Out of State,39,31,40,110,DAMERON HOSPITAL #390846,Emergency Department
Does Not Reside in US,1,0,1,2,DAMERON HOSPITAL #390846,Emergency Department
Unknown,416,341,362,1119,DAMERON HOSPITAL #390846,Emergency Department
Blank/Invalid,55,49,0,104,DAMERON HOSPITAL #390846,Emergency Department
California Resident,12914,13283,12735,12791,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
Out of State,689,457,298,572,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
