AGE GROUPS,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
20 - 29,9,12,8,7,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
30 - 39,22,27,30,19,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
40 - 49,28,49,50,57,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
50 - 59,66,82,104,48,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
60 - 69,83,86,98,75,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
70 - 79,107,42,74,69,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
80 Years +,39,17,27,30,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
-,0,2,3,0,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
Under 1 Year,1,1,1,0,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
0 - 9,506,470,445,295,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
10--19,26,25,50,23,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
20 - 29,0,0,0,1,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
10--19,5,4,7,4,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
20 - 29,51,58,49,48,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
30 - 39,123,146,124,125,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
40 - 49,170,185,173,183,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
50 - 59,212,230,227,283,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
60 - 69,310,309,326,318,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
70 - 79,314,329,382,371,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
80 Years +,138,186,177,166,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
10--19,2,1,6,2,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
20 - 29,14,15,16,18,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
30 - 39,27,44,27,31,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
40 - 49,25,49,39,42,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
50 - 59,24,47,21,26,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
60 - 69,12,14,10,24,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
70 - 79,5,6,5,2,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
80 Years +,1,3,1,0,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
0 - 9,15,26,18,11,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
10--19,43,36,37,36,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
20 - 29,77,92,68,77,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
30 - 39,114,132,113,126,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
40 - 49,133,140,118,118,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
50 - 59,158,161,176,162,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
60 - 69,170,187,183,222,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
70 - 79,65,42,61,69,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
80 Years +,10,14,6,8,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Under 1 Year,1,2,0,1,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
0 - 9,23,24,26,12,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
10--19,27,34,38,36,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
20 - 29,103,100,105,97,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
30 - 39,198,242,219,194,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
40 - 49,259,298,275,270,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
50 - 59,334,356,357,308,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
60 - 69,517,563,497,495,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
70 - 79,413,432,437,431,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
80 Years +,173,161,167,146,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
0 - 9,1,1,0,1,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
10--19,2,2,1,1,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
20 - 29,5,4,8,6,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
30 - 39,12,9,14,10,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
40 - 49,21,14,21,14,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
50 - 59,19,32,14,31,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
60 - 69,38,28,25,41,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
70 - 79,22,25,16,17,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
80 Years +,4,6,3,5,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
Under 1 Year,0,1,1,1,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
0 - 9,13,8,8,6,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
10--19,44,56,36,21,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
20 - 29,52,37,37,24,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
30 - 39,20,20,18,13,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
40 - 49,14,11,11,12,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
50 - 59,11,5,3,3,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
60 - 69,5,4,4,6,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
70 - 79,2,2,1,1,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
0 - 9,12,17,18,9,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
10--19,29,28,23,19,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
20 - 29,47,45,40,41,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
30 - 39,71,97,83,99,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
40 - 49,145,113,123,155,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
50 - 59,143,141,130,143,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
60 - 69,207,231,215,229,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
70 - 79,140,179,153,174,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
80 Years +,24,22,34,31,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
Under 1 Year,0,1,10,13,BAY AREA DENTAL SURGERY CENTER #434211,Ambulatory Surgery
0 - 9,361,353,343,318,BAY AREA DENTAL SURGERY CENTER #434211,Ambulatory Surgery
