DISPOSITION,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,1,3,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Other,1,2,1,1,ADVENTIST HEALTH CLEARLAKE #171049,Ambulatory Surgery
Discharged to home or self care (routine discharge),266,279,239,273,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,4,1,2,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,1,0,0,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,0,0,1,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,5,3,0,3,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
Discharged to home or self care (routine discharge),1445,1576,1532,1698,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,0,0,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,0,1,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,3,0,1,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,1,0,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,8,5,3,2,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,6,8,4,5,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Error/Unknown,0,1,3,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Other,1,5,2,2,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Discharged to home or self care (routine discharge),2615,2976,2697,2537,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),0,2,2,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,2,4,7,2,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,4,3,6,7,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,0,1,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,1,0,0,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,2,6,6,6,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,1,0,0,1,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Error/Unknown,2,0,0,10,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Other,2,2,3,3,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Discharged to home or self care (routine discharge),310,201,203,177,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,1,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,1,0,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,1,0,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,2,0,6,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Other,0,1,1,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Discharged to home or self care (routine discharge),1401,1198,1122,1147,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,1,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,3,2,2,3,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,3,3,2,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,2,4,5,3,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Error/Unknown,0,0,1,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Other,2,1,1,2,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Discharged to home or self care (routine discharge),298,276,262,281,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Discharged/Transferred to a hospital-based Medicare approved swing bed,0,0,2,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,2,2,1,3,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Other,0,0,1,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Discharged to home or self care (routine discharge),59,60,44,76,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Discharged to a medical facility with hospice care,0,2,1,0,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Discharged to home or self care (routine discharge),1169,1104,897,897,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Discharged/Transferred to a designated Cancer Center or Children's Hospital,0,0,3,1,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,2,2,6,10,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,7,8,22,13,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,2,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,0,1,4,0,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Error/Unknown,3,0,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Left against medical advice or discontinued care,0,0,0,1,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Discharged to home or self care (routine discharge),714,758,701,716,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,1,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,1,1,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Error/Unknown,2,3,2,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Other,1,0,1,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Discharged to home or self care (routine discharge),1730,1719,1667,1556,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,0,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,0,1,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,2,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,3,2,5,1,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,29,23,24,28,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,0,0,1,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Error/Unknown,0,1,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Other,4,4,1,1,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Discharged to home or self care (routine discharge),1299,1461,1447,1265,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Discharged/Transferred to a federal health care facility,0,0,0,2,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,0,1,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,0,0,0,4,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,1,0,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,2,2,4,5,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,4,3,4,9,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,1,1,0,1,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Expired,1,0,0,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Left against medical advice or discontinued care,0,0,0,1,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Other,4,2,2,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Discharged to home or self care (routine discharge),126,124,139,142,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Discharged/Transferred to a hospital-based Medicare approved swing bed,1,0,0,0,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,4,6,10,19,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,4,2,1,0,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Discharged home with hospice care,0,1,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Discharged to home or self care (routine discharge),1427,1509,1415,1401,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,2,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,0,1,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,3,3,4,7,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,0,1,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Other,1,1,1,1,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Discharged to home or self care (routine discharge),2590,2679,2690,2491,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,3,3,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,3,0,0,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,0,1,1,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,11,3,5,5,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,9,4,3,12,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Error/Unknown,3,1,5,3,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Other,3,4,2,7,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Discharged home with hospice care,1,0,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Discharged to home or self care (routine discharge),360,187,547,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,0,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,1,0,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,3,0,3,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,40,6,46,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,30,5,35,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Left against medical advice or discontinued care,20,2,22,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Discharged to home or self care (routine discharge),19,30,21,25,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
Discharged to home or self care (routine discharge),910,1004,892,857,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,2,1,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",2,1,2,4,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,1,0,1,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,0,1,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,0,0,1,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,1,1,4,7,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,1,1,1,6,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Left against medical advice or discontinued care,0,3,0,1,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Discharged to home or self care (routine discharge),592,677,644,645,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,0,0,1,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,1,1,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,1,2,1,3,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Left against medical advice or discontinued care,1,0,0,1,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Discharged home with hospice care,0,1,0,0,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
Discharged to home or self care (routine discharge),415,400,194,184,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,1,0,0,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,2,2,1,0,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,2,2,0,0,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
Discharged to home or self care (routine discharge),353,314,398,306,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,0,0,0,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Discharged/Transferred to a hospital-based Medicare approved swing bed,1,0,0,0,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,2,0,0,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Discharged/Transferred to an Inpatient Rehabilitation Facility (IRF) including Rehabilitation Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,1,0,0,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,2,0,0,0,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Left against medical advice or discontinued care,0,1,0,0,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Discharged to home or self care (routine discharge),533,497,499,319,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
Not Provided/Blank,0,1,0,0,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
Discharged to home or self care (routine discharge),1309,1432,1453,1491,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,0,0,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,0,1,1,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,1,1,1,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,3,0,1,0,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,1,7,0,1,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,1,0,0,0,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,1,2,1,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,7,5,6,3,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Expired,0,0,1,0,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Left against medical advice or discontinued care,1,0,0,0,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Discharged to home or self care (routine discharge),75,132,102,111,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,35,46,23,34,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,0,1,0,0,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
Discharged to home or self care (routine discharge),735,787,750,792,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,3,1,0,0,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,1,0,2,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,44,37,27,33,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,3,3,1,0,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Left against medical advice or discontinued care,0,1,2,1,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Not Provided/Blank,0,0,0,1,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Discharged home with hospice care,0,0,0,1,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Discharged to home or self care (routine discharge),2022,2180,2097,1961,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,2,1,1,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,2,10,6,4,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,2,3,0,0,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,1,0,0,0,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,9,6,11,12,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,8,9,6,10,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Left against medical advice or discontinued care,3,2,0,1,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Discharged to home or self care (routine discharge),123,121,102,121,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
