PREFERRED LANGUAGE SPOKEN,PREFERRED LANGUAGE SPOKEN_1,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
TGL,Tagalog,1,0,0,1,ADVENTIST HEALTH DELANO #150706,Ambulatory Surgery
AMH,Amharic,0,1,0,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
ARA,Arabic,7,5,4,6,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
ARM,Armenian,363,351,363,362,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
CHI,Chinese,1,0,1,2,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
ENG,English,932,1020,959,1107,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
PES,Farsi,5,6,4,4,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
FIL,Filipino,0,2,0,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
GER,German,0,1,0,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
JPN,Japanese,0,1,0,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
KOR,Korean,2,8,3,3,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
CMN,Mandarin,1,3,2,1,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
,Not Provided/Blank,0,0,0,4,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
PER,Persian,0,0,1,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
POL,Polish,0,0,0,1,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
RUM,Romanian,0,0,0,1,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
RUS,Russian,9,13,13,18,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
SGN,Sign Language,0,0,1,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
SPA,Spanish,140,179,182,193,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
TGL,Tagalog,1,2,2,2,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
THA,Thai,1,0,1,2,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
UKR,Ukrainian,0,2,2,1,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
VIE,Vietnamese,2,1,4,0,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
999,Unknown,1,1,3,1,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
AMH,Amharic,0,0,2,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
ARA,Arabic,5,3,9,3,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
CHI,Chinese,0,0,2,1,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
DUT,Dutch,1,0,0,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
ENG,English,1859,2108,1869,1780,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
FRE,French,0,0,1,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
HMN,Hmong,0,2,0,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
CMN,Mandarin,0,1,1,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
IUM,Mien; lu Mien,0,1,0,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
,Not Provided/Blank,1,0,0,1,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
PAN,Panjabi; Punjabi,1,1,3,2,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
POR,Portuguese,6,6,3,4,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
SMO,Samoan,0,0,0,1,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
SGN,Sign Language,1,1,0,3,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
SPA,Spanish,752,866,820,769,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
TGL,Tagalog,1,0,1,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
UKR,Ukrainian,1,0,0,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
VIE,Vietnamese,0,0,2,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
YOR,Yoruba,0,0,1,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
999,Unknown,1,4,8,3,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
ARA,Arabic,0,1,0,1,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
ENG,English,298,185,203,170,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
POR,Portuguese,0,0,0,1,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
SPA,Spanish,16,14,8,5,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
THA,Thai,0,1,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
URD,Urdu,1,0,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
999,Unknown,0,1,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
AMH,Amharic,1,0,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
CHI,Chinese,3,1,1,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
HRV,Croatian,1,0,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
ENG,English,1197,1040,946,1000,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
PES,Farsi,6,1,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
FIL,Filipino,1,0,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
HIN,Hindi,2,0,1,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
HMN,Hmong,1,0,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
ITA,Italian,2,0,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
JPN,Japanese,0,1,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
KOR,Korean,0,1,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
LAO,Lao,1,1,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
CMN,Mandarin,0,0,0,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
MKH,Mon-Khmer,1,0,1,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
NAV,Navajo,0,1,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
,Not Provided/Blank,0,2,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
PAN,Panjabi; Punjabi,11,6,2,2,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
POL,Polish,0,1,0,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
POR,Portuguese,0,0,1,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
RUS,Russian,5,3,2,3,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
SMO,Samoan,1,0,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
SGN,Sign Language,2,1,1,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
SPA,Spanish,167,139,171,136,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
SWA,Swahili,0,1,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
TGL,Tagalog,1,2,1,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
UKR,Ukrainian,0,0,0,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
URD,Urdu,0,6,3,3,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
VIE,Vietnamese,7,1,1,2,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
999,Unknown,1,2,2,3,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
ENG,English,287,263,249,277,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
GER,German,1,0,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
SPA,Spanish,10,15,17,7,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
URD,Urdu,2,0,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
ARA,Arabic,0,1,0,0,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
ENG,English,39,36,30,52,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
SPA,Spanish,20,23,14,24,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
ENG,English,1152,1070,896,885,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
FIL,Filipino,0,2,0,1,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
FRE,French,0,1,0,1,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
JPN,Japanese,0,2,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
KOR,Korean,1,0,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
SPA,Spanish,27,39,36,37,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
VIE,Vietnamese,2,2,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
999,Unknown,0,1,1,0,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
ARA,Arabic,0,0,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
ARM,Armenian,0,0,1,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
ENG,English,652,698,646,679,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
PES,Farsi,0,1,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
KOR,Korean,2,0,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
CMN,Mandarin,1,0,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
PAN,Panjabi; Punjabi,1,0,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
SPA,Spanish,61,58,57,36,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
TEL,Telugu,0,1,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
UKR,Ukrainian,0,2,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
VIE,Vietnamese,0,0,1,1,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
999,Unknown,2,2,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
CHI,Chinese,1,0,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
ENG,English,1754,1735,1681,1575,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
PES,Farsi,1,0,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
CMN,Mandarin,1,0,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
MKH,Mon-Khmer,1,0,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
NAV,Navajo,0,0,1,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
PAN,Panjabi; Punjabi,0,1,0,1,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
RUS,Russian,0,0,0,1,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
SGN,Sign Language,0,1,1,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
SPA,Spanish,10,12,16,9,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
999,Unknown,0,2,0,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
CHI,Chinese,0,0,0,1,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
DUT,Dutch,2,1,2,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
ENG,English,1158,1271,1283,1150,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
KOR,Korean,0,0,0,1,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
PAN,Panjabi; Punjabi,0,1,0,1,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
POR,Portuguese,1,1,1,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
RUM,Romanian,0,0,1,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
RUS,Russian,0,1,0,2,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
SGN,Sign Language,0,0,0,1,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
SPA,Spanish,149,192,170,128,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
TGL,Tagalog,0,0,1,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
UKR,Ukrainian,0,1,0,2,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
URD,Urdu,0,1,0,0,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
VIE,Vietnamese,1,1,0,1,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
ENG,English,127,123,137,152,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
PAN,Panjabi; Punjabi,0,0,0,1,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
SGN,Sign Language,1,0,0,0,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
SPA,Spanish,7,9,13,8,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
ARA,Arabic,1,0,0,1,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
ENG,English,1290,1380,1279,1269,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
GER,German,1,0,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
GUJ,Gujarati,1,1,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
CMN,Mandarin,0,0,3,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
POR,Portuguese,0,1,2,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
SGN,Sign Language,2,0,1,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
SPA,Spanish,134,132,133,135,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
TGL,Tagalog,1,3,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
UKR,Ukrainian,0,1,2,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
VIE,Vietnamese,0,0,0,2,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
999,Unknown,2,0,0,2,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
ARA,Arabic,5,1,0,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
ARM,Armenian,12,17,8,12,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
CHI,Chinese,2,1,7,4,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
ENG,English,1279,1298,1288,1212,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
PES,Farsi,3,3,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
FRE,French,1,0,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
HIN,Hindi,2,0,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
HUN,Hungarian,0,0,1,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
JPN,Japanese,1,1,1,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
KOR,Korean,10,7,3,9,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
CMN,Mandarin,3,2,2,4,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
NAV,Navajo,2,0,1,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
PAN,Panjabi; Punjabi,0,1,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
PER,Persian,1,2,1,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
POR,Portuguese,1,1,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
RUS,Russian,2,3,6,2,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
SMO,Samoan,1,0,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
SGN,Sign Language,1,0,1,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
SPA,Spanish,1284,1345,1376,1262,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
TGL,Tagalog,0,3,2,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
THA,Thai,2,2,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
UKR,Ukrainian,0,0,0,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
URD,Urdu,1,0,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
VIE,Vietnamese,5,7,11,8,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
999,Unknown,2,1,1,2,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
ARA,Arabic,1,0,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
ARM,Armenian,2,0,2,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
YUE,Cantonese; Yue Chinese,1,0,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
CHI,Chinese,2,0,2,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
ENG,English,260,123,383,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
KOR,Korean,0,1,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
CMN,Mandarin,1,0,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
RUS,Russian,1,2,3,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
SPA,Spanish,184,72,256,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
THA,Thai,1,0,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
VIE,Vietnamese,2,1,3,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
999,Unknown,1,1,2,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
ENG,English,19,30,21,25,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
ARA,Arabic,9,8,7,6,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
CHI,Chinese,20,18,16,15,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
ENG,English,575,628,542,538,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
PES,Farsi,0,0,3,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
GUJ,Gujarati,0,1,0,1,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
HIN,Hindi,3,2,0,2,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
HMN,Hmong,0,1,0,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
IND,Indonesian,0,0,1,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
ITA,Italian,0,0,1,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
JPN,Japanese,1,1,1,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
KOR,Korean,21,21,17,21,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
LAO,Lao,1,1,0,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
MKH,Mon-Khmer,0,0,1,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
,Not Provided/Blank,0,0,0,4,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
PAN,Panjabi; Punjabi,0,1,2,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
PER,Persian,1,3,0,3,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
RUM,Romanian,1,1,1,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
RUS,Russian,1,3,2,1,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
SGN,Sign Language,0,0,1,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
SIN,Sinhalese,0,1,1,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
SPA,Spanish,268,310,284,267,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
