ETHNICITY,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Unknown,25,58,41,93,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Hispanic or Latino,1101,1007,1054,1026,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Non Hispanic or Latino Ethnicity,2353,2349,2400,2288,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Unknown,12,18,9,6,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Hispanic or Latino,1105,1114,1165,1117,ALAMEDA HOSPITAL #010735,Emergency Department
Non Hispanic or Latino Ethnicity,3032,3069,3160,3021,ALAMEDA HOSPITAL #010735,Emergency Department
Unknown,33,25,19,13,ALAMEDA HOSPITAL #010735,Emergency Department
Hispanic or Latino,2748,2918,2899,3026,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Non Hispanic or Latino Ethnicity,1324,1442,1348,1362,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Unknown,46,13,27,47,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Hispanic or Latino,1006,1041,1136,1181,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Non Hispanic or Latino Ethnicity,6494,6772,7095,6838,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Unknown,165,171,189,195,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Hispanic or Latino,1585,1651,1556,1641,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Non Hispanic or Latino Ethnicity,6576,6417,6429,6496,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Unknown,233,279,280,302,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Hispanic or Latino,1747,1882,1906,1877,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Non Hispanic or Latino Ethnicity,1134,1290,1155,1245,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Unknown,25,19,52,24,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Hispanic or Latino,12053,12337,12036,12302,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Non Hispanic or Latino Ethnicity,13070,13729,13393,13191,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Unknown,217,220,183,246,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Hispanic or Latino,13164,13467,13560,13273,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Non Hispanic or Latino Ethnicity,4896,5080,5122,4865,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Not Provided/Blank,0,46,1,0,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Unknown,602,566,737,666,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Hispanic or Latino,12608,13168,12350,12505,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Non Hispanic or Latino Ethnicity,8027,8353,8282,7946,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Unknown,141,112,175,144,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Hispanic or Latino,259,264,297,267,BANNER LASSEN MEDICAL CENTER #184008,Emergency Department
Non Hispanic or Latino Ethnicity,2542,2519,2555,2291,BANNER LASSEN MEDICAL CENTER #184008,Emergency Department
Hispanic or Latino,2274,2631,2479,2548,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
Non Hispanic or Latino Ethnicity,4218,4605,4618,4647,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
Unknown,224,248,191,187,BARSTOW COMMUNITY HOSPITAL #364430,Emergency Department
Hispanic or Latino,1052,1004,935,928,BARTON MEMORIAL HOSPITAL #090793,Emergency Department
Non Hispanic or Latino Ethnicity,3612,3421,4012,3194,BARTON MEMORIAL HOSPITAL #090793,Emergency Department
Unknown,78,101,106,126,BARTON MEMORIAL HOSPITAL #090793,Emergency Department
Hispanic or Latino,1000,848,836,799,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
Non Hispanic or Latino Ethnicity,2008,1564,1558,1702,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
Not Provided/Blank,0,1,0,0,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
Unknown,326,230,249,258,BEAR VALLEY COMMUNITY HOSPITAL #361110,Emergency Department
Hispanic or Latino,9222,9945,10240,10037,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
Non Hispanic or Latino Ethnicity,5882,5986,6124,5961,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
Unknown,32,30,71,29,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Emergency Department
Hispanic or Latino,358,340,371,391,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Emergency Department
Non Hispanic or Latino Ethnicity,2385,2329,2360,2364,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Emergency Department
Unknown,82,97,66,63,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Emergency Department
Hispanic or Latino,1674,1708,1754,1728,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Emergency Department
Non Hispanic or Latino Ethnicity,3075,3025,3210,3283,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Emergency Department
Unknown,119,69,98,85,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Emergency Department
Hispanic or Latino,1005,1099,1010,1212,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Emergency Department
Non Hispanic or Latino Ethnicity,6629,6559,6784,7257,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Emergency Department
Unknown,269,255,260,238,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Emergency Department
Hispanic or Latino,2065,2135,2146,2155,CEDARS-SINAI MARINA HOSPITAL #190500,Emergency Department
Non Hispanic or Latino Ethnicity,6433,6455,6518,6640,CEDARS-SINAI MARINA HOSPITAL #190500,Emergency Department
Unknown,227,207,226,244,CEDARS-SINAI MARINA HOSPITAL #190500,Emergency Department
Hispanic or Latino,3024,3419,3463,3483,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
Non Hispanic or Latino Ethnicity,9423,9877,10362,10708,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
Unknown,600,502,561,596,CEDARS-SINAI MEDICAL CENTER #190555,Emergency Department
Hispanic or Latino,3007,3354,3450,3284,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
Non Hispanic or Latino Ethnicity,5775,5936,6248,6352,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
Unknown,38,52,31,25,CENTINELA HOSPITAL MEDICAL CENTER #190148,Emergency Department
Hispanic or Latino,479,530,563,510,CHAPMAN GLOBAL MEDICAL CENTER #301140,Emergency Department
Non Hispanic or Latino Ethnicity,596,607,518,540,CHAPMAN GLOBAL MEDICAL CENTER #301140,Emergency Department
Unknown,18,25,59,65,CHAPMAN GLOBAL MEDICAL CENTER #301140,Emergency Department
Hispanic or Latino,816,798,829,1014,CHILDREN'S HOSPITAL AT MISSION #304113,Emergency Department
Non Hispanic or Latino Ethnicity,1858,1837,1924,2130,CHILDREN'S HOSPITAL AT MISSION #304113,Emergency Department
Unknown,161,166,129,187,CHILDREN'S HOSPITAL AT MISSION #304113,Emergency Department
Hispanic or Latino,13382,13362,11905,13922,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Emergency Department
Non Hispanic or Latino Ethnicity,3627,3825,3644,3882,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Emergency Department
Not Provided/Blank,4,1,4,6,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Emergency Department
Unknown,2362,1722,1584,2406,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Emergency Department
Hispanic or Latino,19448,18134,16704,20952,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
Non Hispanic or Latino Ethnicity,7326,7051,6046,7306,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
Not Provided/Blank,9,43,39,43,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
Unknown,117,107,112,151,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Emergency Department
Hispanic or Latino,79,79,89,77,CHINESE HOSPITAL #382715,Emergency Department
Non Hispanic or Latino Ethnicity,1410,1476,1400,1472,CHINESE HOSPITAL #382715,Emergency Department
Unknown,59,60,45,56,CHINESE HOSPITAL #382715,Emergency Department
Hispanic or Latino,6197,6415,6313,6193,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
Non Hispanic or Latino Ethnicity,2534,2475,2639,2484,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
Unknown,21,12,35,188,CHINO VALLEY MEDICAL CENTER #361144,Emergency Department
Hispanic or Latino,7218,7925,7989,7900,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
Non Hispanic or Latino Ethnicity,8695,9462,9719,9613,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
Unknown,178,169,126,136,CLOVIS COMMUNITY MEDICAL CENTER #100005,Emergency Department
Hispanic or Latino,1421,1437,1425,1564,COAST PLAZA HOSPITAL #190766,Emergency Department
Non Hispanic or Latino Ethnicity,681,733,710,756,COAST PLAZA HOSPITAL #190766,Emergency Department
Unknown,9,4,5,13,COAST PLAZA HOSPITAL #190766,Emergency Department
Hispanic or Latino,512,521,559,573,COLLEGE MEDICAL CENTER #190587,Emergency Department
Non Hispanic or Latino Ethnicity,824,836,857,993,COLLEGE MEDICAL CENTER #190587,Emergency Department
Unknown,6,11,1,11,COLLEGE MEDICAL CENTER #190587,Emergency Department
Hispanic or Latino,189,218,220,211,COLORADO RIVER MEDICAL CENTER #361458,Emergency Department
Non Hispanic or Latino Ethnicity,923,942,948,908,COLORADO RIVER MEDICAL CENTER #361458,Emergency Department
Unknown,3,3,8,3,COLORADO RIVER MEDICAL CENTER #361458,Emergency Department
Hispanic or Latino,495,732,629,606,COLUSA MEDICAL CENTER #060870,Emergency Department
Non Hispanic or Latino Ethnicity,622,703,654,688,COLUSA MEDICAL CENTER #060870,Emergency Department
Not Provided/Blank,8,0,0,0,COLUSA MEDICAL CENTER #060870,Emergency Department
Unknown,0,1,0,0,COLUSA MEDICAL CENTER #060870,Emergency Department
Hispanic or Latino,6733,7135,6945,7072,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Emergency Department
Non Hispanic or Latino Ethnicity,780,739,705,678,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Emergency Department
Not Provided/Blank,1,0,0,0,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Emergency Department
Unknown,15,12,11,14,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Emergency Department
Hispanic or Latino,10042,10487,10272,11145,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
Non Hispanic or Latino Ethnicity,3863,4023,3900,4053,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
Unknown,17,22,47,49,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
Hispanic or Latino,4169,4260,4138,4313,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Non Hispanic or Latino Ethnicity,6861,6895,7214,7150,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Not Provided/Blank,1,0,2,3,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Unknown,68,83,72,54,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
Hispanic or Latino,426,453,417,453,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
Non Hispanic or Latino Ethnicity,1762,1835,1867,1781,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
Unknown,2,1,0,3,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
Hispanic or Latino,7238,7451,7099,7503,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
Non Hispanic or Latino Ethnicity,5368,5593,5702,5567,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
Unknown,10,6,11,21,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
Hispanic or Latino,11939,12806,13277,12902,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
Non Hispanic or Latino Ethnicity,8512,9055,9355,9197,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
Unknown,130,190,154,175,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
Hispanic or Latino,3948,4256,4185,3959,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
Non Hispanic or Latino Ethnicity,5620,5736,5702,5320,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
Hispanic or Latino,5941,6095,5959,6255,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
Non Hispanic or Latino Ethnicity,5586,5761,5814,5876,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
Unknown,225,307,500,500,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
Hispanic or Latino,3611,3615,3538,10764,DAMERON HOSPITAL #390846,Emergency Department
Non Hispanic or Latino Ethnicity,4935,5098,5061,15094,DAMERON HOSPITAL #390846,Emergency Department
Unknown,71,46,41,158,DAMERON HOSPITAL #390846,Emergency Department
Hispanic or Latino,6953,7287,7031,7085,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
Non Hispanic or Latino Ethnicity,6623,6392,5937,6185,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
Unknown,169,125,95,105,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
Hispanic or Latino,4219,4761,4541,4619,DESERT VALLEY HOSPITAL #364144,Emergency Department
Non Hispanic or Latino Ethnicity,5625,5305,5693,6049,DESERT VALLEY HOSPITAL #364144,Emergency Department
Unknown,34,27,27,23,DESERT VALLEY HOSPITAL #364144,Emergency Department
Hispanic or Latino,3293,3502,3202,3173,DOCTORS HOSPITAL OF MANTECA #392287,Emergency Department
Non Hispanic or Latino Ethnicity,3429,3739,3463,3444,DOCTORS HOSPITAL OF MANTECA #392287,Emergency Department
Unknown,265,244,248,245,DOCTORS HOSPITAL OF MANTECA #392287,Emergency Department
Hispanic or Latino,7712,8123,8066,8687,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
Non Hispanic or Latino Ethnicity,4633,4620,4692,4675,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
Not Provided/Blank,0,29,0,0,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
Unknown,27,19,34,23,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
Hispanic or Latino,9805,9999,9089,8966,DOCTORS MEDICAL CENTER #500852,Emergency Department
Non Hispanic or Latino Ethnicity,8792,8639,8023,8037,DOCTORS MEDICAL CENTER #500852,Emergency Department
Unknown,317,481,301,324,DOCTORS MEDICAL CENTER #500852,Emergency Department
Hispanic or Latino,2973,3233,3207,3091,DOMINICAN HOSPITAL #440755,Emergency Department
Non Hispanic or Latino Ethnicity,7264,7837,7732,7572,DOMINICAN HOSPITAL #440755,Emergency Department
Unknown,102,126,126,112,DOMINICAN HOSPITAL #440755,Emergency Department
Hispanic or Latino,2045,2097,2316,2419,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Non Hispanic or Latino Ethnicity,349,304,332,332,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Unknown,6,4,0,3,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Hispanic or Latino,92,119,107,104,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Non Hispanic or Latino Ethnicity,753,838,967,756,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Unknown,26,27,54,45,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Hispanic or Latino,7067,7358,7266,7637,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Non Hispanic or Latino Ethnicity,10400,9373,8672,9805,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Unknown,427,350,317,300,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Hispanic or Latino,4408,4393,4115,4304,EL CAMINO HEALTH #430763,Emergency Department
Non Hispanic or Latino Ethnicity,11872,12193,11566,11572,EL CAMINO HEALTH #430763,Emergency Department
Unknown,373,395,305,311,EL CAMINO HEALTH #430763,Emergency Department
Hispanic or Latino,6480,6803,6787,6846,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Non Hispanic or Latino Ethnicity,1115,1064,1025,1124,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Unknown,22,27,25,91,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Hispanic or Latino,5144,5367,5416,5637,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Non Hispanic or Latino Ethnicity,3440,3462,3595,3638,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Unknown,24,19,35,28,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Hispanic or Latino,5505,5570,5558,6237,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Non Hispanic or Latino Ethnicity,2482,2702,2815,2816,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Unknown,58,83,59,54,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Hispanic or Latino,11237,11610,11459,11931,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Non Hispanic or Latino Ethnicity,2852,2698,2821,3013,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Unknown,62,109,71,74,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Hispanic or Latino,8699,8898,8571,8556,EMANUEL MEDICAL CENTER #500867,Emergency Department
Non Hispanic or Latino Ethnicity,5096,5220,5298,4999,EMANUEL MEDICAL CENTER #500867,Emergency Department
Unknown,382,395,394,421,EMANUEL MEDICAL CENTER #500867,Emergency Department
Hispanic or Latino,346,338,327,384,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Non Hispanic or Latino Ethnicity,1181,1241,1255,1380,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Unknown,24,34,14,7,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Hispanic or Latino,3268,3515,3404,3677,ENLOE HEALTH #040962,Emergency Department
Non Hispanic or Latino Ethnicity,12025,12421,12064,11976,ENLOE HEALTH #040962,Emergency Department
Unknown,749,778,740,807,ENLOE HEALTH #040962,Emergency Department
Hispanic or Latino,284,246,226,203,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Non Hispanic or Latino Ethnicity,2391,2594,2502,2334,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Unknown,235,286,258,218,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Hispanic or Latino,586,522,515,502,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
