ETHNICITY,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Unknown,14,16,19,25,ADVENTIST HEALTH GLENDALE #190323,Ambulatory Surgery
Hispanic or Latino,1639,1870,1768,1661,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,951,1053,888,852,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Not Provided/Blank,0,1,1,0,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Unknown,39,69,65,54,ADVENTIST HEALTH HANFORD #164029,Ambulatory Surgery
Hispanic or Latino,30,25,19,22,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,278,173,184,152,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Unknown,7,4,8,3,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Ambulatory Surgery
Hispanic or Latino,366,341,354,307,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,995,836,746,792,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Unknown,50,33,33,57,ADVENTIST HEALTH LODI MEMORIAL #390923,Ambulatory Surgery
Hispanic or Latino,24,19,26,18,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,267,245,228,253,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Unknown,9,14,12,13,ADVENTIST HEALTH MENDOCINO COAST #231013,Ambulatory Surgery
Hispanic or Latino,50,54,38,68,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,9,6,6,8,ADVENTIST HEALTH REEDLEY #100797,Ambulatory Surgery
Hispanic or Latino,132,159,144,137,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,983,894,727,723,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Unknown,67,64,62,64,ADVENTIST HEALTH SIERRA VISTA #400524,Ambulatory Surgery
Hispanic or Latino,166,186,169,127,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,515,559,523,580,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Not Provided/Blank,0,0,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Unknown,38,17,13,9,ADVENTIST HEALTH SIMI VALLEY #560525,Ambulatory Surgery
Hispanic or Latino,62,66,92,64,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1672,1636,1569,1477,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Unknown,34,49,38,45,ADVENTIST HEALTH SONORA - GREENLEY #554011,Ambulatory Surgery
Hispanic or Latino,226,294,261,206,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,970,1105,1121,1031,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Unknown,115,71,76,50,ADVENTIST HEALTH ST. HELENA #281078,Ambulatory Surgery
Hispanic or Latino,24,30,32,36,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,108,98,110,118,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Unknown,3,4,8,7,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Ambulatory Surgery
Hispanic or Latino,227,247,226,254,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1182,1240,1169,1125,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Unknown,23,31,25,30,ADVENTIST HEALTH UKIAH VALLEY #231396,Ambulatory Surgery
Hispanic or Latino,2060,2170,2147,2017,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,506,493,504,468,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Not Provided/Blank,0,3,12,2,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Unknown,54,29,46,33,ADVENTIST HEALTH WHITE MEMORIAL #190878,Ambulatory Surgery
Hispanic or Latino,399,156,555,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,53,31,84,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Unknown,4,13,17,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Ambulatory Surgery
Hispanic or Latino,6,9,5,6,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,13,19,15,18,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
Unknown,0,2,1,1,AESTHETICARE OUTPATIENT SURGERY CENTER #304093,Ambulatory Surgery
Hispanic or Latino,395,459,415,412,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,522,549,488,462,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Not Provided/Blank,0,0,0,1,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Unknown,0,4,0,1,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Ambulatory Surgery
Hispanic or Latino,59,62,65,81,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,533,607,572,561,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Unknown,3,10,9,10,AHMC SETON MEDICAL CENTER #410817,Ambulatory Surgery
Hispanic or Latino,148,182,71,62,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,270,222,124,122,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
Unknown,2,2,0,0,ALAMEDA HOSPITAL #010735,Ambulatory Surgery
Hispanic or Latino,65,89,92,66,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,293,229,305,241,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Unknown,0,0,1,0,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Ambulatory Surgery
Hispanic or Latino,364,334,305,219,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,169,164,194,100,ALL KIDS DENTAL SURGERY CENTER #154169,Ambulatory Surgery
Hispanic or Latino,219,257,250,248,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1046,1127,1158,1187,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Unknown,58,63,57,63,ALTA BATES SUMMIT MEDICAL CENTER #010937,Ambulatory Surgery
Hispanic or Latino,50,92,75,77,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,50,76,46,59,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
Unknown,10,11,4,9,ANAHEIM GLOBAL MEDICAL CENTER #301188,Ambulatory Surgery
Hispanic or Latino,536,557,514,553,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,226,250,225,231,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Unknown,23,23,41,45,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Ambulatory Surgery
Hispanic or Latino,979,1089,1050,958,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1064,1117,1066,1025,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Unknown,5,6,5,7,BAKERSFIELD MEMORIAL HOSPITAL #150722,Ambulatory Surgery
Hispanic or Latino,11,10,11,11,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,113,111,91,115,BANNER LASSEN MEDICAL CENTER #184008,Ambulatory Surgery
Hispanic or Latino,89,79,65,40,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
Non Hispanic or Latino Ethnicity,64,64,54,47,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
Unknown,8,1,0,0,"BARNES DENTAL SURGERY CENTER, INC. #544088",Ambulatory Surgery
Hispanic or Latino,99,118,95,140,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,680,730,685,726,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
Not Provided/Blank,14,0,0,0,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
Unknown,25,25,39,34,BARTON MEMORIAL HOSPITAL #090793,Ambulatory Surgery
Hispanic or Latino,263,269,269,260,BAY AREA DENTAL SURGERY CENTER #434211,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,108,103,104,96,BAY AREA DENTAL SURGERY CENTER #434211,Ambulatory Surgery
Unknown,1,0,0,0,BAY AREA DENTAL SURGERY CENTER #434211,Ambulatory Surgery
Hispanic or Latino,0,8,1,2,BEAR VALLEY COMMUNITY HOSPITAL #361110,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,7,12,18,31,BEAR VALLEY COMMUNITY HOSPITAL #361110,Ambulatory Surgery
Hispanic or Latino,99,81,101,97,"BEVERLY HILLS INTEGRATED SURGICAL, INC. #197833",Ambulatory Surgery
Non Hispanic or Latino Ethnicity,157,134,131,119,"BEVERLY HILLS INTEGRATED SURGICAL, INC. #197833",Ambulatory Surgery
Unknown,5,3,12,0,"BEVERLY HILLS INTEGRATED SURGICAL, INC. #197833",Ambulatory Surgery
Hispanic or Latino,790,788,921,816,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,405,375,413,366,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Ambulatory Surgery
Unknown,1,4,6,4,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES #190125,Ambulatory Surgery
Hispanic or Latino,96,92,109,108,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,717,758,731,777,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Ambulatory Surgery
Unknown,21,15,22,24,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL #380933,Ambulatory Surgery
Hispanic or Latino,56,75,63,65,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,381,351,373,388,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Ambulatory Surgery
Unknown,27,22,21,28,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS #384202,Ambulatory Surgery
Hispanic or Latino,384,392,413,381,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2371,2457,2580,2505,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Ambulatory Surgery
Unknown,74,79,78,90,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS #384176,Ambulatory Surgery
Hispanic or Latino,329,414,393,356,CASA COLINA HOSPITAL #190137,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,412,404,418,412,CASA COLINA HOSPITAL #190137,Ambulatory Surgery
Unknown,8,7,7,7,CASA COLINA HOSPITAL #190137,Ambulatory Surgery
Hispanic or Latino,113,130,139,152,CEDARS-SINAI MARINA HOSPITAL #190500,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,617,667,608,666,CEDARS-SINAI MARINA HOSPITAL #190500,Ambulatory Surgery
Unknown,37,45,35,34,CEDARS-SINAI MARINA HOSPITAL #190500,Ambulatory Surgery
Hispanic or Latino,734,758,799,812,CEDARS-SINAI MEDICAL CENTER #190555,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,4148,4272,4340,4327,CEDARS-SINAI MEDICAL CENTER #190555,Ambulatory Surgery
Unknown,171,168,164,174,CEDARS-SINAI MEDICAL CENTER #190555,Ambulatory Surgery
Hispanic or Latino,38,35,35,45,CENTINELA HOSPITAL MEDICAL CENTER #190148,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,57,60,60,72,CENTINELA HOSPITAL MEDICAL CENTER #190148,Ambulatory Surgery
Unknown,1,8,1,1,CENTINELA HOSPITAL MEDICAL CENTER #190148,Ambulatory Surgery
Hispanic or Latino,223,254,303,257,CENTRAL CALIFORNIA DENTAL SURGERY CENTER #244030,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,58,77,68,81,CENTRAL CALIFORNIA DENTAL SURGERY CENTER #244030,Ambulatory Surgery
Hispanic or Latino,61,63,48,63,CHAPMAN GLOBAL MEDICAL CENTER #301140,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,77,64,68,56,CHAPMAN GLOBAL MEDICAL CENTER #301140,Ambulatory Surgery
Unknown,3,0,2,1,CHAPMAN GLOBAL MEDICAL CENTER #301140,Ambulatory Surgery
Hispanic or Latino,18,26,29,27,CHILDREN'S HOSPITAL AT MISSION #304113,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,64,67,83,63,CHILDREN'S HOSPITAL AT MISSION #304113,Ambulatory Surgery
Unknown,8,2,1,4,CHILDREN'S HOSPITAL AT MISSION #304113,Ambulatory Surgery
Hispanic or Latino,1964,2117,2267,1967,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1293,1293,1341,1294,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Ambulatory Surgery
Not Provided/Blank,1,2,2,1,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Ambulatory Surgery
Unknown,288,276,318,290,CHILDREN'S HOSPITAL OF LOS ANGELES #190170,Ambulatory Surgery
Hispanic or Latino,1516,1470,1460,1453,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1384,1386,1316,1285,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Ambulatory Surgery
Not Provided/Blank,0,5,4,0,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Ambulatory Surgery
Unknown,15,6,26,24,CHILDREN'S HOSPITAL OF ORANGE COUNTY #300032,Ambulatory Surgery
Hispanic or Latino,21,43,34,23,CHINESE HOSPITAL #382715,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,627,669,652,673,CHINESE HOSPITAL #382715,Ambulatory Surgery
Unknown,20,22,23,11,CHINESE HOSPITAL #382715,Ambulatory Surgery
Hispanic or Latino,62,86,75,68,CHINO VALLEY MEDICAL CENTER #361144,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,68,77,85,67,CHINO VALLEY MEDICAL CENTER #361144,Ambulatory Surgery
Unknown,9,3,4,9,CHINO VALLEY MEDICAL CENTER #361144,Ambulatory Surgery
Hispanic or Latino,848,1058,1009,992,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL #190176,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2005,2552,2533,2563,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL #190176,Ambulatory Surgery
Unknown,105,161,161,170,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL #190176,Ambulatory Surgery
Hispanic or Latino,144,120,129,134,COAST PLAZA HOSPITAL #190766,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,65,55,65,69,COAST PLAZA HOSPITAL #190766,Ambulatory Surgery
Unknown,19,3,3,0,COAST PLAZA HOSPITAL #190766,Ambulatory Surgery
Hispanic or Latino,31,46,10,9,COLLEGE HOSPITAL COSTA MESA #301155,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,108,144,122,172,COLLEGE HOSPITAL COSTA MESA #301155,Ambulatory Surgery
Hispanic or Latino,127,151,113,68,COLLEGE MEDICAL CENTER #190587,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,82,109,53,29,COLLEGE MEDICAL CENTER #190587,Ambulatory Surgery
Unknown,3,0,0,0,COLLEGE MEDICAL CENTER #190587,Ambulatory Surgery
Hispanic or Latino,1,0,3,0,COLORADO RIVER MEDICAL CENTER #361458,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,17,4,11,5,COLORADO RIVER MEDICAL CENTER #361458,Ambulatory Surgery
Hispanic or Latino,16,71,66,59,COLUSA MEDICAL CENTER #060870,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,39,84,100,91,COLUSA MEDICAL CENTER #060870,Ambulatory Surgery
Hispanic or Latino,35,25,43,40,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3,1,2,6,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Ambulatory Surgery
Unknown,2,2,2,0,COMMUNITY HOSPITAL OF HUNTINGTON PARK  #190197,Ambulatory Surgery
Hispanic or Latino,304,329,348,356,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,161,186,159,180,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Ambulatory Surgery
Unknown,0,0,1,2,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Ambulatory Surgery
Hispanic or Latino,504,516,470,527,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1985,2062,1898,1891,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
Unknown,52,58,41,36,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
Hispanic or Latino,2839,3174,3150,3332,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3454,3621,3459,3133,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Unknown,44,63,27,26,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Hispanic or Latino,394,475,501,436,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,712,729,726,672,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
Hispanic or Latino,398,411,392,336,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,552,550,543,511,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Unknown,12,4,10,4,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Hispanic or Latino,260,285,335,374,DAMERON HOSPITAL #390846,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,533,637,599,754,DAMERON HOSPITAL #390846,Ambulatory Surgery
Unknown,67,82,77,43,DAMERON HOSPITAL #390846,Ambulatory Surgery
Hispanic or Latino,235,220,243,193,DELTA SURGICAL #394088,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,192,131,177,145,DELTA SURGICAL #394088,Ambulatory Surgery
Hispanic or Latino,368,452,493,439,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,704,805,706,600,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Unknown,15,15,11,8,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Hispanic or Latino,141,149,158,179,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,273,300,310,304,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Unknown,7,6,5,2,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Hispanic or Latino,6,3,4,4,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,25,28,21,13,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
Hispanic or Latino,309,370,422,395,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,766,731,797,887,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Unknown,72,50,91,74,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Hispanic or Latino,269,283,306,258,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,242,233,250,202,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Unknown,3,2,1,0,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Hispanic or Latino,1138,1288,1330,1430,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2387,2616,2571,2815,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Unknown,70,50,44,39,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Hispanic or Latino,257,257,277,247,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1025,1046,1009,1076,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Unknown,9,10,7,9,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Hispanic or Latino,274,236,254,283,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,51,73,60,53,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
Unknown,2,15,31,10,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
Hispanic or Latino,3,1,2,4,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,39,28,42,41,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
Unknown,0,1,2,1,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
Hispanic or Latino,127,151,176,151,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,509,586,569,554,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Unknown,16,15,14,16,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Hispanic or Latino,1074,1180,1326,1235,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,5325,5441,4989,5100,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Unknown,66,56,46,49,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Hispanic or Latino,453,458,459,586,EL CAMINO HEALTH #430763,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3746,3673,3870,4019,EL CAMINO HEALTH #430763,Ambulatory Surgery
Unknown,170,204,209,155,EL CAMINO HEALTH #430763,Ambulatory Surgery
Hispanic or Latino,929,963,901,860,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,143,129,98,119,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Unknown,3,0,1,7,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Hispanic or Latino,431,410,402,365,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,470,464,473,457,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Unknown,4,5,5,11,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Hispanic or Latino,313,333,339,355,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,277,267,290,257,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Unknown,3,5,2,2,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Hispanic or Latino,720,832,850,815,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,405,488,500,529,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Unknown,2,1,0,3,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Hispanic or Latino,746,778,817,793,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,958,988,991,924,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Unknown,58,49,67,88,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Hispanic or Latino,3,5,8,5,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,22,12,17,7,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
Unknown,1,1,2,0,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
Hispanic or Latino,636,645,756,672,ENLOE HEALTH #040962,Ambulatory Surgery
