Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
14177,14513,14263,13976,EMANUEL MEDICAL CENTER #500867,Emergency Department
1551,1613,1596,1771,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
16042,16714,16208,16460,ENLOE HEALTH #040962,Emergency Department
2910,3126,2986,2755,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
1216,1083,1125,1126,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
5721,6469,6619,6182,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
4858,4809,4970,4810,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
4951,5225,5439,5997,GARFIELD MEDICAL CENTER #190315,Emergency Department
3986,4679,4035,3882,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
7183,7211,7288,7427,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
1485,1578,1481,1433,GLENN MEDICAL CENTER #110889,Emergency Department
6118,6463,6231,6586,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
13787,14602,14091,14415,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
5880,6032,5957,6355,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
24444,28691,29466,29406,GROSSMONT HOSPITAL #370714,Emergency Department
5888,6529,5892,6383,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
2383,2687,2536,2294,HEALDSBURG HOSPITAL #490964,Emergency Department
10186,10782,10712,10405,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
13622,14349,14473,15289,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
6178,6252,6136,6433,HI-DESERT MEDICAL CENTER #362041,Emergency Department
18630,19543,19122,18991,HIGHLAND HOSPITAL #010846,Emergency Department
26981,28350,29076,29595,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
7074,7423,7657,7332,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
2721,3116,3286,3153,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
13505,13744,14192,14810,HUNTINGTON HOSPITAL #190400,Emergency Department
1604,1803,1848,1668,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
12346,12314,11599,12273,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
14264,15197,14380,14408,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
13122,13258,12758,12908,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
14441,14841,13873,13929,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
17599,18749,16950,17028,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
15986,17241,16624,16428,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
23496,23666,24223,23969,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
37716,38678,39083,39854,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
10890,10844,10164,10301,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
12416,12875,12645,11986,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
13692,13520,13715,13716,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
28447,29112,27363,27309,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
13216,14259,14414,15109,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
32911,34378,32664,32655,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
29230,30145,29601,29953,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
16481,16973,16700,16762,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
9298,9591,9368,9219,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
14421,15560,15286,15644,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
30769,32111,30641,29876,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
24688,25617,25381,25143,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
28359,29345,30067,30308,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Emergency Department
8025,8112,8134,8239,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Emergency Department
18222,19168,17527,17491,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Emergency Department
18227,17888,17030,16999,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Emergency Department
10096,10818,11144,11503,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Emergency Department
7285,7688,7246,6979,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Emergency Department
16948,18050,17512,17389,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Emergency Department
14995,15982,14986,14061,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Emergency Department
16244,16260,15965,16128,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Emergency Department
26551,28304,27839,27877,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Emergency Department
11764,11850,11393,11801,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Emergency Department
13509,14478,13038,12984,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Emergency Department
17658,18673,17187,17042,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
21341,21590,21382,21783,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
11022,11201,10568,10825,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
18094,18639,18603,19700,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
11590,12400,12317,11784,KERN MEDICAL CENTER #150736,Emergency Department
1739,1899,1985,1834,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
3041,3018,3135,3369,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
19314,19894,19313,19607,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
9301,8659,8277,10253,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
10995,10351,9820,10338,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
11367,10601,11363,11925,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
5120,5289,5152,5440,LOMPOC VALLEY MEDICAL CENTER #420491,Emergency Department
787,879,961,946,LOS ANGELES COMMUNITY HOSPITAL #190198,Emergency Department
14450,15153,14231,14322,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Emergency Department
26288,25570,26144,26893,LOS ANGELES GENERAL MEDICAL CENTER #191228,Emergency Department
10252,10317,10964,11424,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Emergency Department
2840,2973,2892,2649,MAD RIVER COMMUNITY HOSPITAL #121002,Emergency Department
3417,2214,2730,2176,MAMMOTH HOSPITAL #260011,Emergency Department
12739,13910,13866,13355,MARIAN REGIONAL MEDICAL CENTER #420493,Emergency Department
7130,8106,7712,7569,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Emergency Department
8534,9310,8828,9077,MARINHEALTH MEDICAL CENTER #211006,Emergency Department
2634,2689,2599,2613,MARK TWAIN MEDICAL CENTER #050932,Emergency Department
6796,7206,7144,7768,MARSHALL MEDICAL CENTER #090933,Emergency Department
1023,1102,1089,1106,MAYERS MEMORIAL HOSPITAL #450936,Emergency Department
7225,7627,7328,7459,MEMORIAL HOSPITAL LOS BANOS #240924,Emergency Department
7697,7923,7916,7932,MEMORIAL HOSPITAL OF GARDENA #190521,Emergency Department
18487,18530,18082,17911,MEMORIAL MEDICAL CENTER - MODESTO #500939,Emergency Department
16442,17504,17678,18573,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Emergency Department
7965,8739,9050,8958,MEMORIALCARE ORANGE COAST MEDICAL CENTER #300225,Emergency Department
7115,7314,7462,7544,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Emergency Department
4017,4353,4391,4322,MENIFEE GLOBAL MEDICAL CENTER #334018,Emergency Department
8709,8943,8904,8497,MERCY GENERAL HOSPITAL #340947,Emergency Department
17134,18458,18726,18522,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
10923,11551,11256,10965,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
15493,16410,15662,15020,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
11550,11481,11758,11130,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
2435,2545,2651,2298,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
14682,15825,15839,15467,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
13056,14094,13735,13210,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
11063,10696,10610,10927,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
2496,2657,2711,2647,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
1342,1545,1471,1323,MODOC MEDICAL CENTER #254005,Emergency Department
5691,6112,5889,6295,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
4797,5332,5168,5562,MONTEREY PARK HOSPITAL #190547,Emergency Department
1995,2228,2447,2360,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
13183,14044,13662,14024,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
15585,16147,15130,15213,NORTHBAY MEDICAL CENTER #481357,Emergency Department
2094,2370,2470,2197,NORTHERN INYO HOSPITAL #141273,Emergency Department
11693,13167,13392,12005,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
1213,1333,1257,1309,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
4123,4295,4043,3993,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
15242,16054,15245,15441,O'CONNOR HOSPITAL #430837,Emergency Department
5027,4921,4843,4895,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
4869,5026,5117,4843,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
2503,2805,2733,2602,ORCHARD HOSPITAL #040802,Emergency Department
2708,3185,2873,2939,OROVILLE HOSPITAL #040937,Emergency Department
1737,1933,1697,1548,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
20608,21833,22618,24458,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
2411,2179,2273,6863,PALO VERDE HOSPITAL #331288,Emergency Department
16960,17762,17664,17438,PALOMAR MEDICAL CENTER  #374382,Emergency Department
6829,7128,7075,6947,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
4015,4141,4140,4032,PARADISE VALLEY HOSPITAL #370759,Emergency Department
4161,4577,4233,4498,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
9126,9474,9816,8141,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
12725,13238,13627,12168,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
15363,15666,16074,14009,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
10875,10567,10213,11438,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
1027,1169,1214,1000,PLUMAS DISTRICT HOSPITAL #320986,Emergency Department
19897,20471,20305,20299,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Emergency Department
11442,11661,11701,12014,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Emergency Department
11597,12041,12066,13461,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Emergency Department
22843,23340,21801,24024,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Emergency Department
8548,8723,8557,8732,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Emergency Department
10063,9950,9983,10376,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Emergency Department
9938,10530,11100,10755,PROVIDENCE MISSION HOSPITAL #301262,Emergency Department
3413,3596,3831,3650,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Emergency Department
6944,7390,7229,6982,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Emergency Department
2694,2807,2699,2621,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Emergency Department
15189,15942,15559,16213,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Emergency Department
9694,10523,9847,9853,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Emergency Department
18229,18196,19300,19151,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Emergency Department
7394,7686,7981,8077,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA #121080,Emergency Department
13334,14782,14822,15031,PROVIDENCE ST. JUDE MEDICAL CENTER #301342,Emergency Department
18130,18819,18422,19034,PROVIDENCE ST. MARY MEDICAL CENTER #361343,Emergency Department
23692,22923,21817,24863,RADY CHILDREN'S HOSPITAL - SAN DIEGO #370673,Emergency Department
11251,11588,11897,12063,REDLANDS COMMUNITY HOSPITAL #361308,Emergency Department
18027,18966,17259,16999,REGIONAL MEDICAL CENTER OF SAN JOSE #430705,Emergency Department
3798,3967,3890,3838,RIDGECREST REGIONAL HOSPITAL #150782,Emergency Department
21609,23233,23238,24012,RIVERSIDE COMMUNITY HOSPITAL #331312,Emergency Department
19617,20095,20725,21315,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER #334487,Emergency Department
9451,9400,8522,9064,RONALD REAGAN UCLA MEDICAL CENTER #190796,Emergency Department
6717,6813,7031,7074,SAINT JOHN'S HEALTH CENTER #190756,Emergency Department
13060,14135,13390,13708,SALINAS VALLEY HEALTH MEDICAL CENTER #270875,Emergency Department
20103,20276,21051,20254,SAN ANTONIO REGIONAL HOSPITAL #361318,Emergency Department
3048,3363,3524,3656,SAN DIMAS COMMUNITY HOSPITAL #190673,Emergency Department
5591,5685,5855,6032,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Emergency Department
9574,9946,9920,10439,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
11057,11706,12317,11418,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
10050,10541,9904,9140,SAN MATEO MEDICAL CENTER #410782,Emergency Department
4528,4825,4527,4365,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
10926,11685,11926,11748,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
16487,16688,16381,15358,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
8884,9085,8772,8887,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
2511,2757,2723,2972,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
12099,12726,13575,13552,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
10179,10375,10786,10484,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
26502,26786,28408,27226,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
476,692,848,487,SENECA DISTRICT HOSPITAL #321016,Emergency Department
4430,4614,4654,4494,SEQUOIA HOSPITAL #410891,Emergency Department
17913,20931,21871,22293,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
7106,7678,8341,7816,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
21486,24836,25732,25238,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
5502,6197,6379,6017,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
4497,4697,4629,4686,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
6001,7028,6751,6211,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
8375,8857,8680,9074,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
2287,2560,2553,2420,SONOMA VALLEY HOSPITAL #491076,Emergency Department
3079,3170,3065,2838,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
3027,2906,2685,2685,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
23985,24749,24622,25905,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
15784,17526,18098,17850,ST. AGNES MEDICAL CENTER #100899,Emergency Department
16199,16681,16558,16686,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
7425,7869,7642,7247,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
12564,13223,13166,13668,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
6395,6507,6765,6800,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
12728,12622,12627,12911,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
21098,22106,20967,20114,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
10070,10354,9769,9431,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
10701,11620,11683,11929,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
5395,5225,5359,5560,ST. ROSE HOSPITAL #010967,Emergency Department
19920,19670,18634,19414,STANFORD HEALTH CARE #430905,Emergency Department
8283,8631,8354,8090,STANFORD HEALTH CARE TRI-VALLEY #014050,Emergency Department
6273,6567,6114,6030,SUTTER AMADOR HOSPITAL #034002,Emergency Department
6980,7760,7470,6811,SUTTER AUBURN FAITH HOSPITAL #310791,Emergency Department
4099,4742,4828,4409,SUTTER COAST HOSPITAL #084001,Emergency Department
8726,10013,8794,9097,SUTTER DAVIS HOSPITAL #574010,Emergency Department
12259,13030,12146,12088,SUTTER DELTA MEDICAL CENTER #070934,Emergency Department
5073,5482,5686,5140,SUTTER LAKESIDE HOSPITAL #171395,Emergency Department
24147,24195,22991,23965,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Emergency Department
22277,23359,22658,22504,SUTTER ROSEVILLE MEDICAL CENTER #311000,Emergency Department
8673,9389,9285,9075,SUTTER SANTA ROSA REGIONAL HOSPITAL #494106,Emergency Department
7276,7519,7011,7382,SUTTER SOLANO MEDICAL CENTER #481094,Emergency Department
9653,10175,9392,9525,SUTTER TRACY COMMUNITY HOSPITAL #391056,Emergency Department
3177,2737,3389,2581,TAHOE FOREST HOSPITAL #291053,Emergency Department
9267,9551,9658,9819,TEMECULA VALLEY HOSPITAL #334564,Emergency Department
20451,21031,21031,22033,TORRANCE MEMORIAL MEDICAL CENTER #190422,Emergency Department
8722,9454,9732,9618,TRI-CITY MEDICAL CENTER #370780,Emergency Department
1270,1401,1432,1297,TRINITY HOSPITAL #531059,Emergency Department
21778,18997,22293,21814,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER #370782,Emergency Department
8873,9337,9457,9465,UCI HEALTH-FOUNTAIN VALLEY #301175,Emergency Department
7929,7825,7877,7963,UCI HEALTH-LAKEWOOD #190240,Emergency Department
6880,6936,7058,7172,UCI HEALTH-LOS ALAMITOS #301248,Emergency Department
6387,6562,6513,6647,UCI HEALTH-PLACENTIA LINDA #301297,Emergency Department
13372,11709,13131,13124,UCLA WEST VALLEY MEDICAL CENTER #190859,Emergency Department
10355,9419,7415,9507,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Emergency Department
5380,4953,5154,5176,UCSF HEALTH - SAINT FRANCIS HOSPITAL #380960,Emergency Department
3012,2974,2979,3336,UCSF HEALTH - ST. MARY'S HOSPITAL #380965,Emergency Department
10429,10417,9862,10696,UCSF MEDICAL CENTER #381154,Emergency Department
17858,18028,17743,17902,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER #341006,Emergency Department
11549,11830,11701,11214,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER #301279,Emergency Department
9778,10167,10043,9991,USC ARCADIA HOSPITAL #190529,Emergency Department
5726,5208,5202,5175,USC VERDUGO HILLS HOSPITAL #190818,Emergency Department
22559,23569,19999,23368,VALLEY CHILDREN'S HOSPITAL #204019,Emergency Department
12335,12325,12788,13146,VALLEY PRESBYTERIAN HOSPITAL #190812,Emergency Department
11490,12633,12381,12448,VENTURA COUNTY MEDICAL CENTER #560481,Emergency Department
7718,7925,7859,7866,VICTOR VALLEY GLOBAL MEDICAL CENTER #361370,Emergency Department
11849,12145,11684,11950,WASHINGTON HOSPITAL - FREMONT #010987,Emergency Department
7727,7991,8158,7872,WATSONVILLE COMMUNITY HOSPITAL #444013,Emergency Department
