EXPECTED PAYER SOURCE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Health Maintenance Organization,2233,2221,2112,2025,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,2474,2415,2527,2443,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Medicaid (Medi-Cal),6190,6290,5992,6032,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Medicare Part B,1506,1619,1661,1575,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Preferred Provider Organization (PPO),1294,1384,1432,1523,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Self Pay,781,768,719,709,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Title V,16,16,15,20,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Veterans Affairs Plan,93,101,114,104,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Workers' Compensation Health Claim,96,73,76,73,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Other,25,29,25,26,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Other federal program,21,51,36,37,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Other Non-federal programs,471,482,539,481,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Blank/Invalid,3,1,4,4,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
Automobile Medical,41,65,48,43,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Blue Cross/Blue Shield,0,0,0,1,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
CHAMPUS (TRICARE),10,11,7,15,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Commercial Insurance Company,49,50,45,42,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Health Maintenance Organization,115,133,123,121,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,214,235,237,233,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Medicaid (Medi-Cal),2473,2809,2604,2320,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Medicare Part B,845,904,944,822,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Preferred Provider Organization (PPO),488,514,530,530,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Self Pay,262,230,245,218,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Title V,3,8,3,19,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Veterans Affairs Plan,157,141,136,147,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Workers' Compensation Health Claim,41,73,52,44,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Other,2,0,1,2,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Other federal program,2,2,2,4,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Other Non-federal programs,1,0,2,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Blank/Invalid,2,3,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
Automobile Medical,44,78,52,42,ADVENTIST HEALTH DELANO #150706,Emergency Department
CHAMPUS (TRICARE),214,200,60,33,ADVENTIST HEALTH DELANO #150706,Emergency Department
Commercial Insurance Company,87,102,92,131,ADVENTIST HEALTH DELANO #150706,Emergency Department
Error/Unknown,6,2,21,13,ADVENTIST HEALTH DELANO #150706,Emergency Department
Exclusive Provider Organization (EPO),1,0,0,1,ADVENTIST HEALTH DELANO #150706,Emergency Department
Health Maintenance Organization,124,131,119,101,ADVENTIST HEALTH DELANO #150706,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,334,355,326,294,ADVENTIST HEALTH DELANO #150706,Emergency Department
Medicaid (Medi-Cal),4315,4165,4453,4543,ADVENTIST HEALTH DELANO #150706,Emergency Department
Medicare Part A,0,2,0,0,ADVENTIST HEALTH DELANO #150706,Emergency Department
Medicare Part B,390,487,450,447,ADVENTIST HEALTH DELANO #150706,Emergency Department
Preferred Provider Organization (PPO),448,515,485,503,ADVENTIST HEALTH DELANO #150706,Emergency Department
Self Pay,360,397,393,332,ADVENTIST HEALTH DELANO #150706,Emergency Department
Title V,4,2,9,7,ADVENTIST HEALTH DELANO #150706,Emergency Department
Veterans Affairs Plan,8,12,10,13,ADVENTIST HEALTH DELANO #150706,Emergency Department
Workers' Compensation Health Claim,52,70,97,68,ADVENTIST HEALTH DELANO #150706,Emergency Department
Other,9,8,4,8,ADVENTIST HEALTH DELANO #150706,Emergency Department
Other federal program,18,24,39,17,ADVENTIST HEALTH DELANO #150706,Emergency Department
Other Non-federal programs,262,293,270,268,ADVENTIST HEALTH DELANO #150706,Emergency Department
Blank/Invalid,1,0,0,1,ADVENTIST HEALTH DELANO #150706,Emergency Department
Automobile Medical,145,142,69,146,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
CHAMPUS (TRICARE),21,17,14,16,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Commercial Insurance Company,10,9,8,15,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Exclusive Provider Organization (EPO),0,0,0,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Health Maintenance Organization,985,1062,1161,1181,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1195,1246,1272,1306,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Medicaid (Medi-Cal),5484,5934,5855,6188,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Medicare Part B,1678,1845,1927,1912,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Preferred Provider Organization (PPO),1250,1320,1244,1393,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Self Pay,438,508,626,502,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Title V,2,7,3,17,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Veterans Affairs Plan,13,12,10,13,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Workers' Compensation Health Claim,73,60,90,69,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Other,81,96,139,176,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Other federal program,32,28,38,41,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Other Non-federal programs,1,2,5,2,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Blank/Invalid,4,0,2,2,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
Automobile Medical,298,403,295,285,ADVENTIST HEALTH HANFORD #164029,Emergency Department
CHAMPUS (TRICARE),957,977,989,937,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Commercial Insurance Company,88,103,75,80,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Health Maintenance Organization,901,830,846,811,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1045,1153,1373,1352,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Medicaid (Medi-Cal),13776,14557,13493,13175,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Medicare Part B,1745,1824,1816,1704,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Preferred Provider Organization (PPO),2560,2741,2658,2827,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Self Pay,1489,1301,1260,1491,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Title V,5,5,15,14,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Veterans Affairs Plan,39,50,60,55,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Workers' Compensation Health Claim,214,241,311,249,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Other,3,16,15,4,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Other federal program,74,111,94,101,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Other Non-federal programs,208,217,178,194,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Blank/Invalid,0,0,3,7,ADVENTIST HEALTH HANFORD #164029,Emergency Department
Automobile Medical,38,34,41,42,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
CHAMPUS (TRICARE),9,12,12,8,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Commercial Insurance Company,21,35,39,30,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Health Maintenance Organization,48,57,61,77,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,101,95,108,77,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Medicaid (Medi-Cal),1847,1911,1812,1848,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Medicare Part B,689,714,710,673,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Preferred Provider Organization (PPO),605,626,633,555,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Self Pay,137,143,158,154,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Title V,2,3,1,1,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Veterans Affairs Plan,62,66,78,75,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Workers' Compensation Health Claim,46,43,58,33,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Other,2,3,0,1,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Other federal program,1,2,10,5,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Other Non-federal programs,0,0,0,1,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Automobile Medical,131,78,99,164,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
CHAMPUS (TRICARE),56,47,52,38,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Commercial Insurance Company,19,14,12,14,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Health Maintenance Organization,1002,1008,971,1096,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1140,1242,1303,1238,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Medicaid (Medi-Cal),6928,6932,6387,6537,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Medicare Part B,1623,1707,1612,1698,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Preferred Provider Organization (PPO),1483,1557,1542,1652,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Self Pay,951,1050,988,681,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Title V,23,19,34,37,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Veterans Affairs Plan,112,120,129,123,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Workers' Compensation Health Claim,101,132,164,156,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Other,103,110,44,6,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Other federal program,94,79,25,14,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Other Non-federal programs,6,3,1,3,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Blank/Invalid,2,2,0,2,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Automobile Medical,10,9,18,19,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
CHAMPUS (TRICARE),15,14,13,8,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Commercial Insurance Company,31,42,74,44,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Health Maintenance Organization,51,68,65,35,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,132,152,153,131,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Medicaid (Medi-Cal),969,967,1063,943,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Medicare Part B,798,806,896,764,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Preferred Provider Organization (PPO),353,384,403,363,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Self Pay,77,83,102,77,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Title V,2,1,3,5,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Veterans Affairs Plan,50,64,78,59,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Workers' Compensation Health Claim,40,64,53,55,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Other,14,3,2,16,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Other federal program,9,3,7,3,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Other Non-federal programs,7,8,6,5,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Automobile Medical,100,145,120,107,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
CHAMPUS (TRICARE),14,18,18,21,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Commercial Insurance Company,35,38,22,48,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Health Maintenance Organization,111,128,110,106,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,327,381,424,435,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Medicaid (Medi-Cal),6543,7076,6838,6564,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Medicare Part B,529,573,572,501,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Preferred Provider Organization (PPO),762,809,916,918,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Self Pay,403,403,440,476,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Title V,1,4,4,5,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Veterans Affairs Plan,8,4,6,5,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Workers' Compensation Health Claim,71,104,113,82,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Other,2,2,0,1,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Other federal program,47,54,52,22,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Other Non-federal programs,1,1,2,2,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Blank/Invalid,0,1,0,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Automobile Medical,7,2,16,8,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
CHAMPUS (TRICARE),48,29,40,29,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Commercial Insurance Company,70,13,51,56,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Error/Unknown,0,0,1,1,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Exclusive Provider Organization (EPO),14,0,7,17,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Health Maintenance Organization,421,1758,449,503,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,322,349,382,365,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Medicaid (Medi-Cal),1791,1725,1659,1706,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Medicare Part B,721,703,796,750,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Point of Service (POS),81,0,75,83,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Preferred Provider Organization (PPO),1315,0,1097,1150,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Self Pay,279,273,285,244,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Title V,0,0,0,5,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Veterans Affairs Plan,15,0,24,17,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Workers' Compensation Health Claim,71,95,90,78,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Other,5,8,2,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Other Non-federal programs,10,38,11,8,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Automobile Medical,76,93,49,50,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
CHAMPUS (TRICARE),38,45,50,32,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Commercial Insurance Company,33,27,39,37,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Exclusive Provider Organization (EPO),3,3,4,3,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Health Maintenance Organization,1049,1166,1118,1196,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1093,1098,1033,1191,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Medicaid (Medi-Cal),3869,3894,3521,3921,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Medicare Part B,1181,1186,1251,1223,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Preferred Provider Organization (PPO),1815,1789,1869,1962,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Self Pay,472,480,637,635,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Title V,18,17,8,17,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Veterans Affairs Plan,43,49,56,47,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Workers' Compensation Health Claim,82,81,86,79,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Other,16,13,11,16,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Other federal program,30,19,67,39,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Other Non-federal programs,2,1,1,2,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Blank/Invalid,7,6,2,0,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Automobile Medical,41,37,37,69,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
CHAMPUS (TRICARE),30,34,30,34,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Commercial Insurance Company,167,201,202,138,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Health Maintenance Organization,38,42,53,41,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,347,428,461,430,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Medicaid (Medi-Cal),2439,2640,2493,2546,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Medicare Part B,2327,2394,2470,2155,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Preferred Provider Organization (PPO),1616,1868,1794,1715,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Self Pay,400,365,433,406,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Title V,2,7,12,8,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Veterans Affairs Plan,196,211,224,190,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Workers' Compensation Health Claim,129,129,195,139,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Other,5,11,11,4,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Other federal program,7,9,5,10,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Other Non-federal programs,93,86,83,70,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Blank/Invalid,0,0,1,0,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Automobile Medical,6,19,13,16,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
CHAMPUS (TRICARE),7,5,11,5,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Commercial Insurance Company,33,94,82,61,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Health Maintenance Organization,102,94,64,71,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,109,114,98,109,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Medicaid (Medi-Cal),386,441,433,378,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Medicare Part B,371,387,397,386,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Preferred Provider Organization (PPO),332,335,357,348,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Self Pay,79,82,69,80,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Title V,0,0,0,6,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Veterans Affairs Plan,11,19,16,18,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Workers' Compensation Health Claim,52,107,88,88,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Other,0,3,1,1,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Other federal program,4,5,4,4,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Other Non-federal programs,0,1,1,0,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Automobile Medical,39,53,48,21,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
CHAMPUS (TRICARE),167,161,160,217,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Commercial Insurance Company,11,8,6,8,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Exclusive Provider Organization (EPO),5,2,6,7,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Health Maintenance Organization,502,568,510,610,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,543,563,669,636,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Medicaid (Medi-Cal),2298,2380,2365,2649,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Medicare Part B,490,568,608,628,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Preferred Provider Organization (PPO),604,648,667,685,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Self Pay,180,226,206,236,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Title V,5,13,16,14,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Veterans Affairs Plan,93,121,97,94,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Workers' Compensation Health Claim,62,65,63,60,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Other,1,3,0,1,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Other federal program,25,46,21,29,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Other Non-federal programs,120,135,120,82,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Blank/Invalid,0,0,0,1,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Automobile Medical,74,49,48,87,ADVENTIST HEALTH TULARE #540816,Emergency Department
CHAMPUS (TRICARE),19,33,25,23,ADVENTIST HEALTH TULARE #540816,Emergency Department
Commercial Insurance Company,45,57,58,45,ADVENTIST HEALTH TULARE #540816,Emergency Department
Error/Unknown,1,7,9,5,ADVENTIST HEALTH TULARE #540816,Emergency Department
Exclusive Provider Organization (EPO),1,0,0,0,ADVENTIST HEALTH TULARE #540816,Emergency Department
Health Maintenance Organization,347,350,351,305,ADVENTIST HEALTH TULARE #540816,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,224,238,267,274,ADVENTIST HEALTH TULARE #540816,Emergency Department
Medicaid (Medi-Cal),4622,5187,4865,4901,ADVENTIST HEALTH TULARE #540816,Emergency Department
Medicare Part B,728,652,732,685,ADVENTIST HEALTH TULARE #540816,Emergency Department
Preferred Provider Organization (PPO),1040,1083,1076,1074,ADVENTIST HEALTH TULARE #540816,Emergency Department
Self Pay,486,461,538,525,ADVENTIST HEALTH TULARE #540816,Emergency Department
Title V,6,4,6,6,ADVENTIST HEALTH TULARE #540816,Emergency Department
Veterans Affairs Plan,40,43,60,45,ADVENTIST HEALTH TULARE #540816,Emergency Department
Workers' Compensation Health Claim,73,65,82,94,ADVENTIST HEALTH TULARE #540816,Emergency Department
Other,22,20,19,38,ADVENTIST HEALTH TULARE #540816,Emergency Department
Other federal program,4,15,7,4,ADVENTIST HEALTH TULARE #540816,Emergency Department
Other Non-federal programs,3,0,2,2,ADVENTIST HEALTH TULARE #540816,Emergency Department
Blank/Invalid,1,0,2,1,ADVENTIST HEALTH TULARE #540816,Emergency Department
Automobile Medical,19,3,9,2,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Blue Cross/Blue Shield,1,0,1,0,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
CHAMPUS (TRICARE),87,108,113,97,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Commercial Insurance Company,16,12,14,25,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Error/Unknown,8,0,0,4,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Exclusive Provider Organization (EPO),6,0,12,16,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Health Maintenance Organization,583,1835,637,650,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,525,607,626,628,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Medicaid (Medi-Cal),2666,2866,2671,2725,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Medicare Part B,1199,1252,1280,1192,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Point of Service (POS),52,0,59,56,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
