PREFERRED LANGUAGE SPOKEN,PREFERRED LANGUAGE SPOKEN_1,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
VIE,Vietnamese,3,10,6,4,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
999,Unknown,30,35,40,53,ADVENTIST HEALTH AND RIDEOUT #580996,Emergency Department
AMH,Amharic,0,0,1,2,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
ARA,Arabic,22,24,19,25,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
CHI,Chinese,3,2,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
DAN,Danish,1,0,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
ENG,English,13322,13484,13283,13182,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
PES,Farsi,3,0,1,1,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
FIL,Filipino,2,2,1,3,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
FRE,French,0,1,0,1,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
GUJ,Gujarati,1,1,2,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
HIN,Hindi,2,0,2,1,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
ILO,Ilocano; Iloko,0,0,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
ITA,Italian,0,0,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
KOR,Korean,1,3,7,2,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
LAO,Lao,1,0,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
CMN,Mandarin,1,1,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
MKH,Mon-Khmer,0,1,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
NAV,Navajo,0,2,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
,Not Provided/Blank,2,2,3,1,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
PAN,Panjabi; Punjabi,32,40,37,35,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
RUM,Romanian,0,1,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
RUS,Russian,0,0,0,2,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
SMO,Samoan,1,1,0,2,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
SGN,Sign Language,6,3,6,5,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
SPA,Spanish,2005,2051,2093,2012,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
TGL,Tagalog,3,8,8,4,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
TEL,Telugu,1,0,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
THA,Thai,1,0,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
TUR,Turkish,0,0,1,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
URD,Urdu,2,0,0,0,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
VIE,Vietnamese,2,4,6,2,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
999,Unknown,2,8,5,1,ADVENTIST HEALTH BAKERSFIELD #150788,Emergency Department
CHI,Chinese,0,1,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
DAN,Danish,0,0,0,2,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
ENG,English,4205,4571,4481,4097,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
FIL,Filipino,1,0,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
FRE,French,0,0,1,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
HMN,Hmong,0,0,0,1,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
IND,Indonesian,0,0,0,1,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
ITA,Italian,0,0,0,2,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
JPN,Japanese,1,0,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
CMN,Mandarin,0,4,2,3,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
NAV,Navajo,1,0,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
PAN,Panjabi; Punjabi,0,0,1,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
POR,Portuguese,0,0,1,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
RUS,Russian,1,0,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
SMO,Samoan,0,2,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
SGN,Sign Language,2,3,2,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
SPA,Spanish,494,594,487,455,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
TGL,Tagalog,0,0,2,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
TON,Tonga,0,1,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
UKR,Ukrainian,0,1,0,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
VIE,Vietnamese,0,0,1,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
999,Unknown,0,1,1,0,ADVENTIST HEALTH CLEARLAKE #171049,Emergency Department
ARA,Arabic,18,13,12,14,ADVENTIST HEALTH DELANO #150706,Emergency Department
CHI,Chinese,0,0,1,0,ADVENTIST HEALTH DELANO #150706,Emergency Department
ENG,English,4224,4247,4345,4302,ADVENTIST HEALTH DELANO #150706,Emergency Department
FIL,Filipino,1,2,1,1,ADVENTIST HEALTH DELANO #150706,Emergency Department
GER,German,0,1,0,0,ADVENTIST HEALTH DELANO #150706,Emergency Department
ILO,Ilocano; Iloko,2,0,3,1,ADVENTIST HEALTH DELANO #150706,Emergency Department
CMN,Mandarin,0,1,0,0,ADVENTIST HEALTH DELANO #150706,Emergency Department
NAV,Navajo,1,0,2,0,ADVENTIST HEALTH DELANO #150706,Emergency Department
,Not Provided/Blank,1,0,0,0,ADVENTIST HEALTH DELANO #150706,Emergency Department
PAN,Panjabi; Punjabi,0,3,5,5,ADVENTIST HEALTH DELANO #150706,Emergency Department
RUM,Romanian,1,0,0,0,ADVENTIST HEALTH DELANO #150706,Emergency Department
SMO,Samoan,0,1,3,1,ADVENTIST HEALTH DELANO #150706,Emergency Department
SGN,Sign Language,0,1,0,0,ADVENTIST HEALTH DELANO #150706,Emergency Department
SPA,Spanish,2419,2564,2497,2489,ADVENTIST HEALTH DELANO #150706,Emergency Department
SWA,Swahili,0,1,0,1,ADVENTIST HEALTH DELANO #150706,Emergency Department
TGL,Tagalog,8,9,10,6,ADVENTIST HEALTH DELANO #150706,Emergency Department
999,Unknown,2,0,1,2,ADVENTIST HEALTH DELANO #150706,Emergency Department
AMH,Amharic,0,1,0,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
ARA,Arabic,7,7,10,10,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
ARM,Armenian,882,936,1019,1017,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
CHI,Chinese,1,0,3,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
DUT,Dutch,1,0,0,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
ENG,English,9674,10418,10349,10901,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
PES,Farsi,9,4,26,9,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
FIL,Filipino,1,0,0,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
GER,German,0,0,0,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
GRE,Greek,1,0,0,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
JPN,Japanese,1,3,0,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
KOR,Korean,2,15,9,4,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
CMN,Mandarin,3,2,1,2,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
NAV,Navajo,2,0,3,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
,Not Provided/Blank,1,0,1,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
PAN,Panjabi; Punjabi,0,0,0,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
PER,Persian,1,4,1,3,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
POR,Portuguese,0,1,0,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
RUS,Russian,34,51,53,61,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
SMO,Samoan,0,0,0,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
SGN,Sign Language,2,1,2,3,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
SPA,Spanish,773,831,977,951,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
SWA,Swahili,0,0,1,0,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
TGL,Tagalog,12,5,5,8,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
THA,Thai,0,1,0,3,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
TUR,Turkish,0,0,0,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
UKR,Ukrainian,1,1,0,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
VIE,Vietnamese,1,3,2,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
999,Unknown,3,4,1,1,ADVENTIST HEALTH GLENDALE #190323,Emergency Department
AMH,Amharic,0,1,0,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
ARA,Arabic,36,27,25,40,ADVENTIST HEALTH HANFORD #164029,Emergency Department
CHI,Chinese,0,0,10,3,ADVENTIST HEALTH HANFORD #164029,Emergency Department
DAN,Danish,0,0,1,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
DUT,Dutch,0,0,0,2,ADVENTIST HEALTH HANFORD #164029,Emergency Department
ENG,English,17584,18310,17680,17621,ADVENTIST HEALTH HANFORD #164029,Emergency Department
FIL,Filipino,0,0,0,1,ADVENTIST HEALTH HANFORD #164029,Emergency Department
FRE,French,0,0,0,1,ADVENTIST HEALTH HANFORD #164029,Emergency Department
HIN,Hindi,0,0,3,1,ADVENTIST HEALTH HANFORD #164029,Emergency Department
HMN,Hmong,2,1,2,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
IND,Indonesian,1,0,3,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
ITA,Italian,0,0,0,1,ADVENTIST HEALTH HANFORD #164029,Emergency Department
KOR,Korean,0,1,1,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
LAO,Lao,0,1,0,2,ADVENTIST HEALTH HANFORD #164029,Emergency Department
CMN,Mandarin,0,0,1,1,ADVENTIST HEALTH HANFORD #164029,Emergency Department
NAV,Navajo,0,1,2,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
,Not Provided/Blank,0,3,2,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
PAN,Panjabi; Punjabi,14,20,24,6,ADVENTIST HEALTH HANFORD #164029,Emergency Department
POR,Portuguese,12,7,9,11,ADVENTIST HEALTH HANFORD #164029,Emergency Department
RUM,Romanian,0,0,1,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
SMO,Samoan,0,0,1,3,ADVENTIST HEALTH HANFORD #164029,Emergency Department
SGN,Sign Language,5,3,6,9,ADVENTIST HEALTH HANFORD #164029,Emergency Department
SPA,Spanish,5730,6142,5696,5577,ADVENTIST HEALTH HANFORD #164029,Emergency Department
SWA,Swahili,2,0,0,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
SWE,Swedish,0,1,0,0,ADVENTIST HEALTH HANFORD #164029,Emergency Department
TGL,Tagalog,11,6,8,5,ADVENTIST HEALTH HANFORD #164029,Emergency Department
VIE,Vietnamese,1,0,1,1,ADVENTIST HEALTH HANFORD #164029,Emergency Department
999,Unknown,4,5,5,1,ADVENTIST HEALTH HANFORD #164029,Emergency Department
CHI,Chinese,0,0,2,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
ENG,English,3353,3471,3411,3295,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
GER,German,0,1,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
GUJ,Gujarati,1,0,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
HIN,Hindi,0,1,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
JPN,Japanese,0,0,1,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
CMN,Mandarin,0,0,1,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
SPA,Spanish,253,270,306,285,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
THA,Thai,0,1,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
999,Unknown,1,0,0,0,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
AMH,Amharic,0,0,1,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
ARA,Arabic,12,10,6,13,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
CHI,Chinese,5,2,4,5,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
HRV,Croatian,0,0,1,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
DAN,Danish,1,0,0,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
ENG,English,11931,12128,11523,11757,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
PES,Farsi,2,3,2,4,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
FIL,Filipino,1,1,0,2,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
GER,German,0,0,1,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
GUJ,Gujarati,0,0,1,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
HIN,Hindi,7,3,8,9,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
HMN,Hmong,6,8,8,9,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
ITA,Italian,0,1,1,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
KOR,Korean,1,2,2,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
LAO,Lao,0,2,3,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
CMN,Mandarin,2,0,3,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
MKH,Mon-Khmer,6,11,12,12,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
NAV,Navajo,2,1,1,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
,Not Provided/Blank,4,2,2,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
PAN,Panjabi; Punjabi,55,49,58,50,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
PER,Persian,0,0,1,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
POL,Polish,1,0,2,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
POR,Portuguese,3,0,1,2,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
RUM,Romanian,1,1,2,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
RUS,Russian,0,0,2,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
SMO,Samoan,1,0,0,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
SGN,Sign Language,5,8,6,3,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
SPA,Spanish,1592,1741,1587,1450,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
TGL,Tagalog,5,3,3,9,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
TEL,Telugu,0,0,0,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
UKR,Ukrainian,2,0,1,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
URD,Urdu,105,102,105,108,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
VIE,Vietnamese,14,12,7,7,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
999,Unknown,10,10,9,11,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
AMH,Amharic,1,0,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
ENG,English,2409,2500,2762,2380,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
FRE,French,0,1,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
HUN,Hungarian,1,1,0,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
LAO,Lao,0,1,1,1,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
CMN,Mandarin,0,0,1,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
POR,Portuguese,2,0,3,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
SMO,Samoan,1,0,2,0,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
SPA,Spanish,143,165,161,144,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
THA,Thai,0,0,0,1,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
URD,Urdu,1,0,6,1,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
AMH,Amharic,0,0,1,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
ARA,Arabic,22,20,22,22,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
CHI,Chinese,0,0,2,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
DUT,Dutch,0,0,1,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
ENG,English,5500,6097,6210,5993,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
FIL,Filipino,0,0,0,1,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
LAO,Lao,1,0,0,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
CMN,Mandarin,1,0,2,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
MKH,Mon-Khmer,3,0,1,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
NAV,Navajo,1,1,1,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
NNO,Norwegian,0,0,0,1,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
,Not Provided/Blank,0,2,3,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
PAN,Panjabi; Punjabi,0,1,1,1,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
RUM,Romanian,0,1,0,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
SMO,Samoan,0,1,0,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
SGN,Sign Language,6,0,1,2,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
SPA,Spanish,3416,3612,3386,3273,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
SWA,Swahili,1,0,0,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
TGL,Tagalog,2,2,3,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
999,Unknown,1,4,3,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
ARA,Arabic,1,1,1,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
DAN,Danish,0,0,1,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
ENG,English,4864,4658,4706,4708,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
FIL,Filipino,0,1,0,2,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
FIN,Finnish,1,0,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
GER,German,3,0,0,1,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
HEB,Hebrew,1,0,1,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
HMN,Hmong,0,0,1,1,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
HUN,Hungarian,1,2,2,7,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
IND,Indonesian,2,3,2,1,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
ITA,Italian,2,1,0,1,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
JPN,Japanese,1,0,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
RUS,Russian,1,0,1,1,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
SGN,Sign Language,1,0,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
SPA,Spanish,286,323,268,292,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
SWE,Swedish,0,0,2,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
TGL,Tagalog,3,1,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
TUR,Turkish,0,1,0,2,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
VIE,Vietnamese,2,0,0,0,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
999,Unknown,1,2,0,4,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
ARA,Arabic,5,5,5,4,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
ARM,Armenian,8,9,6,11,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
CHI,Chinese,1,5,5,5,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
DUT,Dutch,0,1,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
ENG,English,8952,8975,8798,9358,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
PES,Farsi,11,6,12,9,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
GER,German,0,0,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
HIN,Hindi,1,1,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
HUN,Hungarian,0,0,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
ILO,Ilocano; Iloko,0,0,1,0,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
ITA,Italian,0,1,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
JPN,Japanese,0,0,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
KOR,Korean,4,2,1,6,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
CMN,Mandarin,0,0,3,2,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
NAV,Navajo,0,0,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
,Not Provided/Blank,1,2,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
PAN,Panjabi; Punjabi,4,1,2,4,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
PER,Persian,4,1,1,2,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
POL,Polish,0,0,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
RUM,Romanian,1,1,1,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
RUS,Russian,2,3,10,3,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
SMO,Samoan,0,1,0,0,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
SGN,Sign Language,2,2,1,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
SPA,Spanish,815,940,949,1020,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
TGL,Tagalog,3,0,1,4,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
TEL,Telugu,0,2,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
TON,Tonga,0,0,0,2,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
UKR,Ukrainian,0,1,2,2,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
VIE,Vietnamese,5,2,2,5,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
