AGE GROUPS,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
40 - 49,419,450,473,436,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
50 - 59,400,374,414,389,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
60 - 69,417,460,437,406,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
70 - 79,397,440,437,391,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
80 Years +,196,189,207,214,ADVENTIST HEALTH HOWARD MEMORIAL #234038,Emergency Department
Under 1 Year,368,329,302,322,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
blank,0,0,2,0,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
-,0,1,1,1,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
1--9,1837,1823,1400,1644,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
10--19,1447,1489,1398,1367,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
20 - 29,1846,1870,1872,1699,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
30 - 39,1887,1948,1928,1881,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
40 - 49,1551,1572,1523,1591,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
50 - 59,1376,1435,1398,1396,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
60 - 69,1310,1455,1363,1317,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
70 - 79,1107,1162,1154,1115,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
80 Years +,1045,1016,1022,1126,ADVENTIST HEALTH LODI MEMORIAL #390923,Emergency Department
Under 1 Year,34,25,16,26,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
1--9,145,177,142,139,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
10--19,180,209,214,171,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
20 - 29,221,209,255,230,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
30 - 39,282,313,347,311,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
40 - 49,280,298,291,282,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
50 - 59,276,282,346,291,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
60 - 69,428,378,491,379,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
70 - 79,411,469,499,432,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
80 Years +,301,308,335,266,ADVENTIST HEALTH MENDOCINO COAST #231013,Emergency Department
Under 1 Year,220,200,241,228,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
-,1,0,0,0,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
1--9,1513,1723,1339,1629,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
10--19,1465,1534,1372,1462,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
20 - 29,1373,1575,1631,1478,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
30 - 39,1425,1460,1609,1367,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
40 - 49,1011,1049,1157,1060,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
50 - 59,746,806,849,752,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
60 - 69,551,714,748,660,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
70 - 79,382,392,440,386,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
80 Years +,267,288,251,271,ADVENTIST HEALTH REEDLEY #100797,Emergency Department
Under 1 Year,145,103,121,129,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
1--9,497,484,377,474,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
10--19,582,534,466,541,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
20 - 29,926,959,823,862,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
30 - 39,747,732,803,743,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
40 - 49,564,479,496,511,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
50 - 59,479,419,484,406,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
60 - 69,506,494,532,515,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
70 - 79,410,474,519,467,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
80 Years +,314,315,364,372,ADVENTIST HEALTH SIERRA VISTA #400524,Emergency Department
Under 1 Year,176,159,143,158,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
-,0,1,0,1,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
1--9,973,1039,824,1102,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
10--19,1011,968,941,1051,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
20 - 29,1242,1275,1263,1358,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
30 - 39,1220,1374,1366,1357,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
40 - 49,1179,1108,1168,1159,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
50 - 59,1118,1159,1189,1202,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
60 - 69,1191,1164,1140,1226,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
70 - 79,864,877,898,952,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
80 Years +,853,843,870,884,ADVENTIST HEALTH SIMI VALLEY #560525,Emergency Department
Under 1 Year,103,93,81,81,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
1--9,606,693,482,601,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
10--19,726,753,744,676,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
20 - 29,809,927,973,914,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
30 - 39,877,1001,1055,1016,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
40 - 49,801,804,866,821,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
50 - 59,733,797,787,733,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
60 - 69,1167,1210,1294,1190,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
70 - 79,1095,1243,1249,1136,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
80 Years +,920,941,973,787,ADVENTIST HEALTH SONORA - GREENLEY #554011,Emergency Department
Under 1 Year,15,13,14,13,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
1--9,108,116,80,94,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
10--19,118,135,127,135,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
20 - 29,170,200,182,174,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
30 - 39,162,196,205,189,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
40 - 49,162,190,168,148,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
50 - 59,168,212,193,183,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
60 - 69,186,227,216,194,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
70 - 79,213,222,251,236,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
80 Years +,190,195,198,205,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Under 1 Year,85,101,90,126,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
1--9,624,620,516,690,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
10--19,578,628,582,624,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
20 - 29,594,645,655,768,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
30 - 39,795,905,902,889,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
40 - 49,600,599,618,656,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
50 - 59,517,593,543,552,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
60 - 69,608,628,721,726,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
70 - 79,430,521,542,564,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
80 Years +,314,320,393,383,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Under 1 Year,190,161,162,138,ADVENTIST HEALTH TULARE #540816,Emergency Department
-,1,0,0,1,ADVENTIST HEALTH TULARE #540816,Emergency Department
1--9,982,1113,879,1027,ADVENTIST HEALTH TULARE #540816,Emergency Department
10--19,876,1035,935,1012,ADVENTIST HEALTH TULARE #540816,Emergency Department
20 - 29,1201,1358,1255,1302,ADVENTIST HEALTH TULARE #540816,Emergency Department
30 - 39,1185,1347,1316,1250,ADVENTIST HEALTH TULARE #540816,Emergency Department
40 - 49,1067,1066,1141,1109,ADVENTIST HEALTH TULARE #540816,Emergency Department
50 - 59,832,811,983,858,ADVENTIST HEALTH TULARE #540816,Emergency Department
60 - 69,675,703,765,732,ADVENTIST HEALTH TULARE #540816,Emergency Department
70 - 79,451,441,462,441,ADVENTIST HEALTH TULARE #540816,Emergency Department
80 Years +,276,229,249,244,ADVENTIST HEALTH TULARE #540816,Emergency Department
Under 1 Year,132,137,118,133,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
1--9,650,695,531,657,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
10--19,624,773,708,666,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
20 - 29,931,1013,1017,948,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
30 - 39,931,968,1013,967,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
40 - 49,773,792,835,825,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
50 - 59,682,726,733,692,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
60 - 69,762,865,895,832,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
70 - 79,740,757,788,769,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
80 Years +,600,634,685,620,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Under 1 Year,143,169,150,140,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
-,0,2,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
1--9,953,959,718,747,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
10--19,775,899,845,739,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
20 - 29,905,975,970,908,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
30 - 39,983,1014,1081,995,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
40 - 49,932,966,988,1043,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
50 - 59,882,878,906,746,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
60 - 69,821,816,907,798,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
70 - 79,726,740,715,701,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
80 Years +,446,460,518,496,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Under 1 Year,453,406,424,494,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
blank,0,0,0,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
-,0,0,2,2,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
1--9,1816,1823,1860,2690,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
10--19,1444,1464,2088,2477,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
20 - 29,2270,2225,3384,3442,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
30 - 39,2077,2151,3142,3289,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
40 - 49,1617,1582,2613,2559,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
50 - 59,1395,1503,2470,2357,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
60 - 69,1227,1298,2072,1921,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
70 - 79,673,750,1344,1269,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
80 Years +,450,475,883,862,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Under 1 Year,72,81,153,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
1--9,762,690,1452,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
10--19,791,681,1472,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
20 - 29,1219,1095,2314,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
30 - 39,1180,1099,2279,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
40 - 49,989,922,1911,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
50 - 59,821,809,1630,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
60 - 69,621,737,1358,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
70 - 79,414,474,888,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
80 Years +,354,362,716,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Under 1 Year,72,59,62,95,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
-,1,0,0,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
1--9,373,295,301,387,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
10--19,533,538,589,583,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
20 - 29,1052,1289,1250,1299,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
30 - 39,1137,1321,1341,1260,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
40 - 49,1013,967,1015,1043,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
50 - 59,914,911,1017,920,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
60 - 69,776,844,874,868,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
70 - 79,426,433,511,495,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
80 Years +,318,280,347,357,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Under 1 Year,16,13,14,13,AHMC SETON MEDICAL CENTER #410817,Emergency Department
1--9,171,166,143,171,AHMC SETON MEDICAL CENTER #410817,Emergency Department
10--19,201,233,219,245,AHMC SETON MEDICAL CENTER #410817,Emergency Department
20 - 29,558,447,515,496,AHMC SETON MEDICAL CENTER #410817,Emergency Department
30 - 39,503,432,507,484,AHMC SETON MEDICAL CENTER #410817,Emergency Department
40 - 49,425,413,389,399,AHMC SETON MEDICAL CENTER #410817,Emergency Department
50 - 59,473,445,451,407,AHMC SETON MEDICAL CENTER #410817,Emergency Department
60 - 69,419,415,480,430,AHMC SETON MEDICAL CENTER #410817,Emergency Department
70 - 79,339,441,401,350,AHMC SETON MEDICAL CENTER #410817,Emergency Department
80 Years +,361,369,344,325,AHMC SETON MEDICAL CENTER #410817,Emergency Department
-,1,1,0,0,ALAMEDA HOSPITAL #010735,Emergency Department
Under 1 Year,13,11,9,21,ALAMEDA HOSPITAL #010735,Emergency Department
1--9,152,146,117,136,ALAMEDA HOSPITAL #010735,Emergency Department
10--19,268,297,288,304,ALAMEDA HOSPITAL #010735,Emergency Department
20 - 29,659,712,686,685,ALAMEDA HOSPITAL #010735,Emergency Department
30 - 39,779,786,809,793,ALAMEDA HOSPITAL #010735,Emergency Department
40 - 49,601,625,691,608,ALAMEDA HOSPITAL #010735,Emergency Department
50 - 59,587,571,561,506,ALAMEDA HOSPITAL #010735,Emergency Department
60 - 69,505,491,553,494,ALAMEDA HOSPITAL #010735,Emergency Department
70 - 79,366,332,371,365,ALAMEDA HOSPITAL #010735,Emergency Department
80 Years +,239,236,259,239,ALAMEDA HOSPITAL #010735,Emergency Department
Under 1 Year,15,23,22,26,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
1--9,266,295,210,317,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
10--19,395,383,348,427,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
20 - 29,635,700,707,713,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
30 - 39,723,743,706,729,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
40 - 49,571,572,544,555,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
50 - 59,500,505,544,526,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
60 - 69,411,484,533,516,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
70 - 79,305,348,364,338,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
80 Years +,297,320,296,288,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Under 1 Year,8,7,4,5,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
-,9,5,11,4,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
1--9,32,30,27,35,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
10--19,147,172,174,194,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
20 - 29,916,916,1094,978,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
30 - 39,1293,1423,1495,1506,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
40 - 49,1090,1193,1140,1190,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
50 - 59,1049,1047,1047,1049,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
60 - 69,1277,1403,1383,1329,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
70 - 79,1008,1020,1102,1102,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
80 Years +,836,768,943,822,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Under 1 Year,43,45,52,50,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
-,2,4,6,2,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
1--9,117,129,87,112,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
10--19,496,411,467,556,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
20 - 29,1536,1615,1609,1691,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
30 - 39,1565,1577,1527,1506,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
40 - 49,1131,1141,1117,1182,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
50 - 59,920,861,942,918,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
60 - 69,1003,977,932,912,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
70 - 79,896,861,873,828,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
80 Years +,685,726,653,682,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Under 1 Year,21,21,12,21,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
-,1,0,0,0,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
1--9,157,169,116,170,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
10--19,266,289,264,280,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
20 - 29,560,659,620,616,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
30 - 39,599,708,665,686,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
40 - 49,481,514,510,499,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
50 - 59,386,408,434,416,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
60 - 69,262,251,270,275,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
70 - 79,112,115,161,124,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
80 Years +,61,57,61,59,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Under 1 Year,576,570,561,659,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
-,1,0,1,0,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
1--9,3100,3444,2499,3372,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
10--19,2670,2854,2610,2677,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
20 - 29,3695,3826,3825,3782,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
30 - 39,4323,4459,4451,4138,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
